agent_id,agent_kind,agent_name,amount,assets_cash,assets_payable,item_name,item_type,liabilities_cash,liabilities_payable,net_financial,total_financial_assets,total_financial_liabilities,total_inventory_value,total_nonfinancial_value
CB,,,,,,,,26870.0,,-26870.0,0,26870.0,0.0,0.0
H1,,,,5000.0,156,,,,518,4638.0,5156.0,518,0.0,0.0
H2,,,,4284.0,669,,,,1151,3802.0,4953.0,1151,0.0,0.0
H3,,,,5586.0,,,,,9022,-3436.0,5586.0,9022,0.0,0.0
H4,,,,5000.0,8522,,,,3650,9872.0,13522.0,3650,0.0,0.0
H5,,,,5000.0,3150,,,,656,7494.0,8150.0,656,0.0,0.0
big_short,,,,666.6666666666666,1000,,,,,1666.6666666666665,1666.6666666666665,0,0.0,0.0
big_mid,,,,666.6666666666666,1000,,,,,1666.6666666666665,1666.6666666666665,0,0.0,0.0
big_long,,,,666.6666666666666,500,,,,,1166.6666666666665,1166.6666666666665,0,0.0,0.0
dealer_short,,,,,,,,,,0,0,0,0.0,0.0
vbt_short,,,,,,,,,,0,0,0,0.0,0.0
dealer_mid,,,,,,,,,,0,0,0,0.0,0.0
vbt_mid,,,,,,,,,,0,0,0,0.0,0.0
dealer_long,,,,,,,,,,0,0,0,0.0,0.0
vbt_long,,,,,,,,,,0,0,0,0.0,0.0
SYSTEM,,,,26870.0,14997,,,26870.0,14997,0,41867.0,41867.0,0.0,0.0
SYSTEM,system,System Total,41867.0,,,Total Assets,summary,,,,,,,
SYSTEM,system,System Total,41867.0,,,Total Liabilities,summary,,,,,,,
SYSTEM,system,System Total,0.0,,,Total Equity,summary,,,,,,,
