agent_id,agent_kind,agent_name,amount,assets_cash,assets_payable,item_name,item_type,liabilities_cash,liabilities_payable,net_financial,total_financial_assets,total_financial_liabilities,total_inventory_value,total_nonfinancial_value
CB,,,,,,,,9502.0,,-9502.0,0,9502.0,0.0,0.0
H1,,,,601.0,0,,,,500,101.0,601.0,500,0.0,0.0
H2,,,,265.0,,,,,500,-235.0,265.0,500,0.0,0.0
H3,,,,969.0,,,,,4708,-3739.0,969.0,4708,0.0,0.0
H4,,,,4412.0,,,,,8384,-3972.0,4412.0,8384,0.0,0.0
H5,,,,625.0,7884,,,,500,8009.0,8509.0,500,0.0,0.0
big_short,,,,750.0,1000,,,,,1750.0,1750.0,0,0.0,0.0
big_mid,,,,750.0,1000,,,,,1750.0,1750.0,0,0.0,0.0
big_long,,,,748.0,500,,,,,1248.0,1248.0,0,0.0,0.0
dealer_short,,,,,,,,,,0,0,0,0.0,0.0
vbt_short,,,,382,4208,,,,,4590,4590,0,0.0,0.0
dealer_mid,,,,,,,,,,0,0,0,0.0,0.0
vbt_mid,,,,,,,,,,0,0,0,0.0,0.0
dealer_long,,,,,,,,,,0,0,0,0.0,0.0
vbt_long,,,,,,,,,,0,0,0,0.0,0.0
SYSTEM,,,,9502.0,14592,,,9502.0,14592,0,24094.0,24094.0,0.0,0.0
SYSTEM,system,System Total,24094.0,,,Total Assets,summary,,,,,,,
SYSTEM,system,System Total,24094.0,,,Total Liabilities,summary,,,,,,,
SYSTEM,system,System Total,0.0,,,Total Equity,summary,,,,,,,
