agent_id,agent_kind,agent_name,amount,assets_cash,assets_payable,item_name,item_type,liabilities_cash,liabilities_payable,net_financial,total_financial_assets,total_financial_liabilities,total_inventory_value,total_nonfinancial_value
CB,,,,,,,,16841.0,,-16841.0,0,16841.0,0.0,0.0
H1,,,,2607.0,,,,,3616,-1009.0,2607.0,3616,0.0,0.0
H2,,,,2250.0,,,,,,2250.0,2250.0,0,0.0,0.0
H3,,,,4659.0,,,,,7149,-2490.0,4659.0,7149,0.0,0.0
H4,,,,2500.0,6649,,,,714,8435.0,9149.0,714,0.0,0.0
H5,,,,2581,,,,,619,1962,2581,619,0.0,0.0
big_short,,,,625.0,1000,,,,,1625.0,1625.0,0,0.0,0.0
big_mid,,,,1125.0,500,,,,,1625.0,1625.0,0,0.0,0.0
big_long,,,,494.0,619,,,,,1113.0,1113.0,0,0.0,0.0
dealer_short,,,,,,,,,,0,0,0,0.0,0.0
vbt_short,,,,,3116,,,,,3116,3116,0,0.0,0.0
dealer_mid,,,,,,,,,,0,0,0,0.0,0.0
vbt_mid,,,,,214,,,,,214,214,0,0.0,0.0
dealer_long,,,,,,,,,,0,0,0,0.0,0.0
vbt_long,,,,,,,,,,0,0,0,0.0,0.0
SYSTEM,,,,16841.0,12098,,,16841.0,12098,0,28939.0,28939.0,0.0,0.0
SYSTEM,system,System Total,28939.0,,,Total Assets,summary,,,,,,,
SYSTEM,system,System Total,28939.0,,,Total Liabilities,summary,,,,,,,
SYSTEM,system,System Total,0.0,,,Total Equity,summary,,,,,,,
