agent_id,agent_kind,agent_name,amount,assets_cash,assets_payable,item_name,item_type,liabilities_cash,liabilities_payable,net_financial,total_financial_assets,total_financial_liabilities,total_inventory_value,total_nonfinancial_value
CB,,,,,,,,14528.333333333334,,-14528.333333333334,0,14528.333333333334,0.0,0.0
H1,,,,3713.0,,,,,2054,1659.0,3713.0,2054,0.0,0.0
H2,,,,2024.0,,,,,2846,-822.0,2024.0,2846,0.0,0.0
H3,,,,2736.0,,,,,1355,1381.0,2736.0,1355,0.0,0.0
H4,,,,1309.0,,,,,4610,-3301.0,1309.0,4610,0.0,0.0
H5,,,,3913.0,,,,,4133,-220.0,3913.0,4133,0.0,0.0
big_short,,,,833.3333333333334,1000,,,,,1833.3333333333335,1833.3333333333335,0,0.0,0.0
big_mid,,,,,3346,,,,,3346,3346,0,0.0,0.0
big_long,,,,,2054,,,,,2054,2054,0,0.0,0.0
dealer_short,,,,,,,,,,0,0,0,0.0,0.0
vbt_short,,,,,,,,,,0,0,0,0.0,0.0
dealer_mid,,,,,,,,,,0,0,0,0.0,0.0
vbt_mid,,,,,7743,,,,,7743,7743,0,0.0,0.0
dealer_long,,,,,,,,,,0,0,0,0.0,0.0
vbt_long,,,,,855,,,,,855,855,0,0.0,0.0
SYSTEM,,,,14528.333333333334,14998,,,14528.333333333334,14998,0,29526.333333333332,29526.333333333332,0.0,0.0
SYSTEM,system,System Total,29526.333333333332,,,Total Assets,summary,,,,,,,
SYSTEM,system,System Total,29526.333333333332,,,Total Liabilities,summary,,,,,,,
SYSTEM,system,System Total,0.0,,,Total Equity,summary,,,,,,,
