agent_id,agent_kind,agent_name,amount,assets_cash,assets_payable,item_name,item_type,liabilities_cash,liabilities_payable,net_financial,total_financial_assets,total_financial_liabilities,total_inventory_value,total_nonfinancial_value
CB,,,,,,,,18582.0,,-18582.0,0,18582.0,0.0,0.0
H1,,,,3463.0,,,,,2809,654.0,3463.0,2809,0.0,0.0
H2,,,,4463.0,,,,,5870,-1407.0,4463.0,5870,0.0,0.0
H3,,,,7333.0,,,,,4249,3084.0,7333.0,4249,0.0,0.0
H4,,,,1323.0,4819,,,,500,5642.0,6142.0,500,0.0,0.0
H5,,,,,5370,,,,1570,3800,5370,1570,0.0,0.0
big_short,,,,666.6666666666666,1000,,,,,1666.6666666666665,1666.6666666666665,0,0.0,0.0
big_mid,,,,666.6666666666666,1000,,,,,1666.6666666666665,1666.6666666666665,0,0.0,0.0
big_long,,,,666.6666666666666,500,,,,,1166.6666666666665,1166.6666666666665,0,0.0,0.0
dealer_short,,,,,,,,,,0,0,0,0.0,0.0
vbt_short,,,,,,,,,,0,0,0,0.0,0.0
dealer_mid,,,,,,,,,,0,0,0,0.0,0.0
vbt_mid,,,,,2309,,,,,2309,2309,0,0.0,0.0
dealer_long,,,,,,,,,,0,0,0,0.0,0.0
vbt_long,,,,,,,,,,0,0,0,0.0,0.0
SYSTEM,,,,18582.0,14998,,,18582.0,14998,0,33580.0,33580.0,0.0,0.0
SYSTEM,system,System Total,33580.0,,,Total Assets,summary,,,,,,,
SYSTEM,system,System Total,33580.0,,,Total Liabilities,summary,,,,,,,
SYSTEM,system,System Total,0.0,,,Total Equity,summary,,,,,,,
