run_id,regime,trader_id,liability_id,maturity_day,face_value,outcome,buy_count,sell_count,net_cash_pnl,strategy
balanced_active_691f3642a3e0,active,H1,PAY_18d68e7b8d76,1,2234,repaid,0,0,0,no_trade
balanced_active_691f3642a3e0,active,H1,PAY_70cae041c04e,1,500,repaid,0,0,0,no_trade
balanced_active_691f3642a3e0,active,H2,PAY_40f78a1bd5d6,1,3438,repaid,0,0,0,no_trade
balanced_active_691f3642a3e0,active,H2,PAY_dca94932f515,1,500,repaid,0,0,0,no_trade
balanced_active_691f3642a3e0,active,H3,PAY_07909ddfbd24,1,2780,repaid,0,0,0,no_trade
balanced_active_691f3642a3e0,active,H3,PAY_9b2147a75705,1,500,repaid,0,0,0,no_trade
balanced_active_691f3642a3e0,active,H4,PAY_715bbdff67e2,1,933,repaid,0,0,0,no_trade
balanced_active_691f3642a3e0,active,H4,PAY_01d5dfac86ef,1,500,repaid,0,0,0,no_trade
balanced_active_691f3642a3e0,active,H5,PAY_f3106aaae567,1,3113,repaid,0,0,0,no_trade
balanced_active_691f3642a3e0,active,H5,PAY_1050f4ccb4b1,1,500,repaid,0,0,0,no_trade
