run_id,regime,trader_id,liability_id,maturity_day,face_value,outcome,buy_count,sell_count,net_cash_pnl,strategy
balanced_active_6966ca0dbd78,active,H2,PAY_8053d424cacf,1,4460,repaid,0,0,0,no_trade
balanced_active_6966ca0dbd78,active,H2,PAY_b1d17112b37a,1,500,repaid,0,0,0,no_trade
balanced_active_6966ca0dbd78,active,H3,PAY_be318b320f0d,3,1064,repaid,0,0,0,no_trade
balanced_active_6966ca0dbd78,active,H3,PAY_bfa148a4aa7e,3,500,repaid,0,0,0,no_trade
balanced_active_6966ca0dbd78,active,H4,PAY_07e181cc7948,5,3754,repaid,0,0,0,no_trade
balanced_active_6966ca0dbd78,active,H4,PAY_0db2fc01029f,5,500,repaid,0,0,0,no_trade
balanced_active_6966ca0dbd78,active,H5,PAY_4d70583021b2,7,1617,repaid,0,0,0,no_trade
balanced_active_6966ca0dbd78,active,H5,PAY_b248a025b5f3,7,500,repaid,0,0,0,no_trade
balanced_active_6966ca0dbd78,active,H1,PAY_bd137b71ea6d,9,1603,repaid,0,0,0,no_trade
balanced_active_6966ca0dbd78,active,H1,PAY_9515e04afc91,9,500,repaid,0,0,0,no_trade
