run_id,regime,trader_id,liability_id,maturity_day,face_value,outcome,buy_count,sell_count,net_cash_pnl,strategy
balanced_active_6acdcf618a54,active,H2,PAY_519b9d309d33,1,5179,repaid,0,0,0,no_trade
balanced_active_6acdcf618a54,active,H2,PAY_beafe0660e5e,1,500,repaid,0,0,0,no_trade
balanced_active_6acdcf618a54,active,H3,PAY_3b79ef71e77f,3,2053,repaid,0,0,0,no_trade
balanced_active_6acdcf618a54,active,H3,PAY_b883514fb0fa,3,500,repaid,0,0,0,no_trade
balanced_active_6acdcf618a54,active,H4,PAY_8aaff5eead1f,5,2376,repaid,0,0,0,no_trade
balanced_active_6acdcf618a54,active,H4,PAY_f29ce848d757,5,500,repaid,0,0,0,no_trade
balanced_active_6acdcf618a54,active,H5,PAY_21a88938fe8f,7,1104,repaid,0,0,0,no_trade
balanced_active_6acdcf618a54,active,H5,PAY_33acb8bb2662,7,500,repaid,0,0,0,no_trade
balanced_active_6acdcf618a54,active,H1,PAY_c1292d4e20ee,9,1785,repaid,0,0,0,no_trade
balanced_active_6acdcf618a54,active,H1,PAY_f5ead6ea2a35,9,500,repaid,0,0,0,no_trade
