agent_id,agent_kind,agent_name,amount,assets_cash,assets_payable,item_name,item_type,liabilities_cash,liabilities_payable,net_financial,total_financial_assets,total_financial_liabilities,total_inventory_value,total_nonfinancial_value
CB,,,,,,,,17919.0,,-17919.0,0,17919.0,0.0,0.0
H1,,,,3411.0,,,,,7697,-4286.0,3411.0,7697,0.0,0.0
H2,,,,3839.0,,,,,,3839.0,3839.0,0,0.0,0.0
H3,,,,6419.0,,,,,764,5655.0,6419.0,764,0.0,0.0
H4,,,,2500.0,264,,,,546,2218.0,2764.0,546,0.0,0.0
H5,,,,,7243,,,,1572,5671,7243,1572,0.0,0.0
big_short,,,,,2072,,,,,2072,2072,0,0.0,0.0
big_mid,,,,1125.0,500,,,,,1625.0,1625.0,0,0.0,0.0
big_long,,,,625.0,500,,,,,1125.0,1125.0,0,0.0,0.0
dealer_short,,,,,,,,,,0,0,0,0.0,0.0
vbt_short,,,,,,,,,,0,0,0,0.0,0.0
dealer_mid,,,,,,,,,,0,0,0,0.0,0.0
vbt_mid,,,,,,,,,,0,0,0,0.0,0.0
dealer_long,,,,,,,,,,0,0,0,0.0,0.0
vbt_long,,,,,,,,,,0,0,0,0.0,0.0
SYSTEM,,,,17919.0,10579,,,17919.0,10579,0,28498.0,28498.0,0.0,0.0
SYSTEM,system,System Total,28498.0,,,Total Assets,summary,,,,,,,
SYSTEM,system,System Total,28498.0,,,Total Liabilities,summary,,,,,,,
SYSTEM,system,System Total,0.0,,,Total Equity,summary,,,,,,,
