agent_id,agent_kind,agent_name,amount,assets_cash,assets_payable,item_name,item_type,liabilities_cash,liabilities_payable,net_financial,total_financial_assets,total_financial_liabilities,total_inventory_value,total_nonfinancial_value
CB,,,,,,,,16076.666666666666,,-16076.666666666666,0,16076.666666666666,0.0,0.0
H1,,,,5157.0,,,,,2499,2658.0,5157.0,2499,0.0,0.0
H2,,,,59.0,1999,,,,,2058.0,2058.0,0,0.0,0.0
H3,,,,1872.0,,,,,4532,-2660.0,1872.0,4532,0.0,0.0
H4,,,,4879.0,,,,,1679,3200.0,4879.0,1679,0.0,0.0
H5,,,,2252.0,,,,,5096,-2844.0,2252.0,5096,0.0,0.0
big_short,,,,666.6666666666666,1000,,,,,1666.6666666666665,1666.6666666666665,0,0.0,0.0
big_mid,,,,1191,500,,,,,1691,1691,0,0.0,0.0
big_long,,,,,4532,,,,,4532,4532,0,0.0,0.0
dealer_short,,,,,,,,,,0,0,0,0.0,0.0
vbt_short,,,,,,,,,,0,0,0,0.0,0.0
dealer_mid,,,,,,,,,,0,0,0,0.0,0.0
vbt_mid,,,,,5775,,,,,5775,5775,0,0.0,0.0
dealer_long,,,,,,,,,,0,0,0,0.0,0.0
vbt_long,,,,,,,,,,0,0,0,0.0,0.0
SYSTEM,,,,16076.666666666666,13806,,,16076.666666666666,13806,0,29882.666666666668,29882.666666666668,0.0,0.0
SYSTEM,system,System Total,29882.666666666668,,,Total Assets,summary,,,,,,,
SYSTEM,system,System Total,29882.666666666668,,,Total Liabilities,summary,,,,,,,
SYSTEM,system,System Total,0.0,,,Total Equity,summary,,,,,,,
