agent_id,agent_kind,agent_name,amount,assets_cash,assets_payable,item_name,item_type,liabilities_cash,liabilities_payable,net_financial,total_financial_assets,total_financial_liabilities,total_inventory_value,total_nonfinancial_value
CB,,,,,,,,19369.333333333332,,-19369.333333333332,0,19369.333333333332,0.0,0.0
H1,,,,2500.0,392,,,,1238,1654.0,2892.0,1238,0.0,0.0
H2,,,,3127.0,,,,,3839,-712.0,3127.0,3839,0.0,0.0
H3,,,,2500.0,3339,,,,2164,3675.0,5839.0,2164,0.0,0.0
H4,,,,3914.0,,,,,6864,-2950.0,3914.0,6864,0.0,0.0
H5,,,,5995.0,1664,,,,892,6767.0,7659.0,892,0.0,0.0
big_short,,,,666.6666666666666,1000,,,,,1666.6666666666665,1666.6666666666665,0,0.0,0.0
big_mid,,,,666.6666666666666,1000,,,,,1666.6666666666665,1666.6666666666665,0,0.0,0.0
big_long,,,,,1238,,,,,1238,1238,0,0.0,0.0
dealer_short,,,,,,,,,,0,0,0,0.0,0.0
vbt_short,,,,,,,,,,0,0,0,0.0,0.0
dealer_mid,,,,,,,,,,0,0,0,0.0,0.0
vbt_mid,,,,,6364,,,,,6364,6364,0,0.0,0.0
dealer_long,,,,,,,,,,0,0,0,0.0,0.0
vbt_long,,,,,,,,,,0,0,0,0.0,0.0
SYSTEM,,,,19369.333333333332,14997,,,19369.333333333332,14997,0,34366.333333333336,34366.333333333336,0.0,0.0
SYSTEM,system,System Total,34366.333333333336,,,Total Assets,summary,,,,,,,
SYSTEM,system,System Total,34366.333333333336,,,Total Liabilities,summary,,,,,,,
SYSTEM,system,System Total,0.0,,,Total Equity,summary,,,,,,,
