agent_id,agent_kind,agent_name,amount,assets_cash,assets_payable,item_name,item_type,liabilities_cash,liabilities_payable,net_financial,total_financial_assets,total_financial_liabilities,total_inventory_value,total_nonfinancial_value
CB,,,,,,,,15484.666666666666,,-15484.666666666666,0,15484.666666666666,0.0,0.0
H1,,,,4261.0,,,,,3324,937.0,4261.0,3324,0.0,0.0
H2,,,,538.0,,,,,,538.0,538.0,0,0.0,0.0
H3,,,,3862.0,,,,,1118,2744.0,3862.0,1118,0.0,0.0
H4,,,,1775.0,,,,,3597,-1822.0,1775.0,3597,0.0,0.0
H5,,,,3882.0,,,,,3846,36.0,3882.0,3846,0.0,0.0
big_short,,,,666.6666666666666,1000,,,,,1666.6666666666665,1666.6666666666665,0,0.0,0.0
big_mid,,,,500,3846,,,,,4346,4346,0,0.0,0.0
big_long,,,,,3324,,,,,3324,3324,0,0.0,0.0
dealer_short,,,,,,,,,,0,0,0,0.0,0.0
vbt_short,,,,,,,,,,0,0,0,0.0,0.0
dealer_mid,,,,,,,,,,0,0,0,0.0,0.0
vbt_mid,,,,,3715,,,,,3715,3715,0,0.0,0.0
dealer_long,,,,,,,,,,0,0,0,0.0,0.0
vbt_long,,,,,,,,,,0,0,0,0.0,0.0
SYSTEM,,,,15484.666666666666,11885,,,15484.666666666666,11885,0,27369.666666666668,27369.666666666668,0.0,0.0
SYSTEM,system,System Total,27369.666666666668,,,Total Assets,summary,,,,,,,
SYSTEM,system,System Total,27369.666666666668,,,Total Liabilities,summary,,,,,,,
SYSTEM,system,System Total,0.0,,,Total Equity,summary,,,,,,,
