run_id,regime,trader_id,liability_id,maturity_day,face_value,outcome,buy_count,sell_count,net_cash_pnl,strategy
balanced_active_86d660712087,active,H2,PAY_448afb29c4f5,1,2232,repaid,0,0,0,no_trade
balanced_active_86d660712087,active,H2,PAY_862383b7f2a2,1,500,repaid,0,0,0,no_trade
balanced_active_86d660712087,active,H1,PAY_f28ed682c0e0,2,1374,repaid,0,0,0,no_trade
balanced_active_86d660712087,active,H1,PAY_0e96bbb9f33f,2,500,repaid,0,0,0,no_trade
balanced_active_86d660712087,active,H5,PAY_86661398b1f0,8,3107,repaid,0,0,0,no_trade
balanced_active_86d660712087,active,H5,PAY_efcc037a43b1,8,500,repaid,0,0,0,no_trade
balanced_active_86d660712087,active,H4,PAY_dde0291c2a94,9,3514,repaid,0,0,0,no_trade
balanced_active_86d660712087,active,H4,PAY_9dbc2e7b8662,9,500,repaid,0,0,0,no_trade
balanced_active_86d660712087,active,H3,PAY_68ca7561beaf,10,2271,repaid,0,0,0,no_trade
balanced_active_86d660712087,active,H3,PAY_28f6f1c58560,10,500,repaid,0,0,0,no_trade
