agent_id,agent_kind,agent_name,amount,assets_cash,assets_payable,item_name,item_type,liabilities_cash,liabilities_payable,net_financial,total_financial_assets,total_financial_liabilities,total_inventory_value,total_nonfinancial_value
CB,,,,,,,,15624.0,,-15624.0,0,15624.0,0.0,0.0
H1,,,,3196.0,,,,,500,2696.0,3196.0,500,0.0,0.0
H2,,,,976.0,,,,,2672,-1696.0,976.0,2672,0.0,0.0
H3,,,,2580.0,,,,,2402,178.0,2580.0,2402,0.0,0.0
H4,,,,2337.0,,,,,5244,-2907.0,2337.0,5244,0.0,0.0
H5,,,,4895.0,,,,,3790,1105.0,4895.0,3790,0.0,0.0
big_short,,,,416.6666666666667,1000,,,,,1416.6666666666667,1416.6666666666667,0,0.0,0.0
big_mid,,,,416.6666666666667,1000,,,,,1416.6666666666667,1416.6666666666667,0,0.0,0.0
big_long,,,,416.6666666666667,500,,,,,916.6666666666667,916.6666666666667,0,0.0,0.0
dealer_short,,,,,,,,,,0,0,0,0.0,0.0
vbt_short,,,,390,12108,,,,,12498,12498,0,0.0,0.0
dealer_mid,,,,,,,,,,0,0,0,0.0,0.0
vbt_mid,,,,,,,,,,0,0,0,0.0,0.0
dealer_long,,,,,,,,,,0,0,0,0.0,0.0
vbt_long,,,,,,,,,,0,0,0,0.0,0.0
SYSTEM,,,,15624.0,14608,,,15624.0,14608,0,30232.0,30232.0,0.0,0.0
SYSTEM,system,System Total,30232.0,,,Total Assets,summary,,,,,,,
SYSTEM,system,System Total,30232.0,,,Total Liabilities,summary,,,,,,,
SYSTEM,system,System Total,0.0,,,Total Equity,summary,,,,,,,
