agent_id,agent_kind,agent_name,amount,assets_cash,assets_payable,item_name,item_type,liabilities_cash,liabilities_payable,net_financial,total_financial_assets,total_financial_liabilities,total_inventory_value,total_nonfinancial_value
CB,,,,,,,,15286.0,,-15286.0,0,15286.0,0.0,0.0
H1,,,,9012.0,,,,,2294,6718.0,9012.0,2294,0.0,0.0
H2,,,,750.0,1794,,,,,2544.0,2544.0,0,0.0,0.0
H3,,,,1250.0,,,,,2549,-1299.0,1250.0,2549,0.0,0.0
H4,,,,1250.0,2049,,,,530,2769.0,3299.0,530,0.0,0.0
H5,,,,1274.0,,,,,9124,-7850.0,1274.0,9124,0.0,0.0
big_short,,,,,9624,,,,,9624,9624,0,0.0,0.0
big_mid,,,,1125.0,500,,,,,1625.0,1625.0,0,0.0,0.0
big_long,,,,625.0,500,,,,,1125.0,1125.0,0,0.0,0.0
dealer_short,,,,,,,,,,0,0,0,0.0,0.0
vbt_short,,,,,,,,,,0,0,0,0.0,0.0
dealer_mid,,,,,,,,,,0,0,0,0.0,0.0
vbt_mid,,,,,30,,,,,30,30,0,0.0,0.0
dealer_long,,,,,,,,,,0,0,0,0.0,0.0
vbt_long,,,,,,,,,,0,0,0,0.0,0.0
SYSTEM,,,,15286.0,14497,,,15286.0,14497,0,29783.0,29783.0,0.0,0.0
SYSTEM,system,System Total,29783.0,,,Total Assets,summary,,,,,,,
SYSTEM,system,System Total,29783.0,,,Total Liabilities,summary,,,,,,,
SYSTEM,system,System Total,0.0,,,Total Equity,summary,,,,,,,
