agent_id,agent_kind,agent_name,amount,assets_cash,assets_payable,item_name,item_type,liabilities_cash,liabilities_payable,net_financial,total_financial_assets,total_financial_liabilities,total_inventory_value,total_nonfinancial_value
CB,,,,,,,,26192.0,,-26192.0,0,26192.0,0.0,0.0
H1,,,,2707.0,,,,,,2707.0,2707.0,0,0.0,0.0
H2,,,,3195.0,2692,,,,,5887.0,5887.0,0,0.0,0.0
H3,,,,5091.0,,,,,3192,1899.0,5091.0,3192,0.0,0.0
H4,,,,7288.0,,,,,8243,-955.0,7288.0,8243,0.0,0.0
H5,,,,4411.0,7743,,,,,12154.0,12154.0,0,0.0,0.0
big_short,,,,1166.6666666666665,500,,,,,1666.6666666666665,1666.6666666666665,0,0.0,0.0
big_mid,,,,1666.6666666666665,,,,,,1666.6666666666665,1666.6666666666665,0,0.0,0.0
big_long,,,,666.6666666666666,500,,,,,1166.6666666666665,1166.6666666666665,0,0.0,0.0
dealer_short,,,,,,,,,,0,0,0,0.0,0.0
vbt_short,,,,,,,,,,0,0,0,0.0,0.0
dealer_mid,,,,,,,,,,0,0,0,0.0,0.0
vbt_mid,,,,,,,,,,0,0,0,0.0,0.0
dealer_long,,,,,,,,,,0,0,0,0.0,0.0
vbt_long,,,,,,,,,,0,0,0,0.0,0.0
SYSTEM,,,,26192.0,11435,,,26192.0,11435,0,37627.0,37627.0,0.0,0.0
SYSTEM,system,System Total,37627.0,,,Total Assets,summary,,,,,,,
SYSTEM,system,System Total,37627.0,,,Total Liabilities,summary,,,,,,,
SYSTEM,system,System Total,0.0,,,Total Equity,summary,,,,,,,
