run_id,regime,trader_id,liability_id,maturity_day,face_value,outcome,buy_count,sell_count,net_cash_pnl,strategy
balanced_active_8fd7fe8dacd9,active,H2,PAY_f6277181e629,1,1866,repaid,0,0,0,no_trade
balanced_active_8fd7fe8dacd9,active,H2,PAY_43f6084dda85,1,500,repaid,0,0,0,no_trade
balanced_active_8fd7fe8dacd9,active,H1,PAY_afe3b31bc6cd,2,733,repaid,0,0,0,no_trade
balanced_active_8fd7fe8dacd9,active,H1,PAY_989f95c69cf5,2,500,repaid,0,0,0,no_trade
balanced_active_8fd7fe8dacd9,active,H5,PAY_93ecd0df7204,8,1942,repaid,0,0,0,no_trade
balanced_active_8fd7fe8dacd9,active,H5,PAY_23f640fbbcb4,8,500,repaid,0,0,0,no_trade
balanced_active_8fd7fe8dacd9,active,H4,PAY_a14e897387bf,9,7512,repaid,0,0,0,no_trade
balanced_active_8fd7fe8dacd9,active,H4,PAY_7dcf68ac137a,9,500,repaid,0,0,0,no_trade
balanced_active_8fd7fe8dacd9,active,H3,PAY_607519946b95,10,444,repaid,0,0,0,no_trade
balanced_active_8fd7fe8dacd9,active,H3,PAY_2b122d3a6c38,10,500,repaid,0,0,0,no_trade
