run_id,regime,trader_id,liability_id,maturity_day,face_value,outcome,buy_count,sell_count,net_cash_pnl,strategy
balanced_active_9dfb59e66cd0,active,H2,PAY_90a222f793eb,1,2249,repaid,0,0,0,no_trade
balanced_active_9dfb59e66cd0,active,H2,PAY_b52da292dc01,1,500,repaid,0,0,0,no_trade
balanced_active_9dfb59e66cd0,active,H5,PAY_0feebf64f0b0,2,3512,repaid,0,0,0,no_trade
balanced_active_9dfb59e66cd0,active,H5,PAY_c44ce5184bfb,2,500,repaid,0,0,0,no_trade
balanced_active_9dfb59e66cd0,active,H1,PAY_285f18c8a5da,4,1253,repaid,0,0,0,no_trade
balanced_active_9dfb59e66cd0,active,H1,PAY_536beecf27a8,4,500,repaid,0,0,0,no_trade
balanced_active_9dfb59e66cd0,active,H4,PAY_79bc5e13e6ed,5,3814,repaid,0,0,0,no_trade
balanced_active_9dfb59e66cd0,active,H4,PAY_a569970304ee,5,500,repaid,0,0,0,no_trade
balanced_active_9dfb59e66cd0,active,H3,PAY_49268e8cbe5e,8,1669,repaid,0,0,0,no_trade
balanced_active_9dfb59e66cd0,active,H3,PAY_996450eb75d3,8,500,repaid,0,0,0,no_trade
