agent_id,agent_kind,agent_name,amount,assets_cash,item_name,item_type,liabilities_cash,net_financial,total_financial_assets,total_financial_liabilities,total_inventory_value,total_nonfinancial_value
CB,,,,,,,52500.0,-52500.0,0,52500.0,0.0,0.0
H1,,,,7048.0,,,,7048.0,7048.0,0,0.0,0.0
H2,,,,7763.0,,,,7763.0,7763.0,0,0.0,0.0
H3,,,,13867.0,,,,13867.0,13867.0,0,0.0,0.0
H4,,,,4572.0,,,,4572.0,4572.0,0,0.0,0.0
H5,,,,14250.0,,,,14250.0,14250.0,0,0.0,0.0
big_short,,,,1833.3333333333335,,,,1833.3333333333335,1833.3333333333335,0,0.0,0.0
big_mid,,,,1833.3333333333335,,,,1833.3333333333335,1833.3333333333335,0,0.0,0.0
big_long,,,,1333.3333333333335,,,,1333.3333333333335,1333.3333333333335,0,0.0,0.0
dealer_short,,,,,,,,0,0,0,0.0,0.0
vbt_short,,,,,,,,0,0,0,0.0,0.0
dealer_mid,,,,,,,,0,0,0,0.0,0.0
vbt_mid,,,,,,,,0,0,0,0.0,0.0
dealer_long,,,,,,,,0,0,0,0.0,0.0
vbt_long,,,,,,,,0,0,0,0.0,0.0
SYSTEM,,,,52500.0,,,52500.0,0,52500.0,52500.0,0.0,0.0
SYSTEM,system,System Total,52500.0,,Total Assets,summary,,,,,,
SYSTEM,system,System Total,52500.0,,Total Liabilities,summary,,,,,,
SYSTEM,system,System Total,0.0,,Total Equity,summary,,,,,,
