agent_id,agent_kind,agent_name,amount,assets_cash,assets_payable,item_name,item_type,liabilities_cash,liabilities_payable,net_financial,total_financial_assets,total_financial_liabilities,total_inventory_value,total_nonfinancial_value
CB,,,,,,,,18603.0,,-18603.0,0,18603.0,0.0,0.0
H1,,,,4813.0,,,,,3165,1648.0,4813.0,3165,0.0,0.0
H2,,,,1130.0,,,,,,1130.0,1130.0,0,0.0,0.0
H3,,,,5768.0,,,,,2138,3630.0,5768.0,2138,0.0,0.0
H4,,,,3810.0,,,,,2705,1105.0,3810.0,2705,0.0,0.0
H5,,,,1332,2665,,,,3221,776,3997,3221,0.0,0.0
big_short,,,,416.6666666666667,1000,,,,,1416.6666666666667,1416.6666666666667,0,0.0,0.0
big_mid,,,,916.6666666666667,500,,,,,1416.6666666666667,1416.6666666666667,0,0.0,0.0
big_long,,,,416.6666666666667,500,,,,,916.6666666666667,916.6666666666667,0,0.0,0.0
dealer_short,,,,,,,,,,0,0,0,0.0,0.0
vbt_short,,,,,,,,,,0,0,0,0.0,0.0
dealer_mid,,,,,,,,,,0,0,0,0.0,0.0
vbt_mid,,,,,4926,,,,,4926,4926,0,0.0,0.0
dealer_long,,,,,,,,,,0,0,0,0.0,0.0
vbt_long,,,,,1638,,,,,1638,1638,0,0.0,0.0
SYSTEM,,,,18603.0,11229,,,18603.0,11229,0,29832.0,29832.0,0.0,0.0
SYSTEM,system,System Total,29832.0,,,Total Assets,summary,,,,,,,
SYSTEM,system,System Total,29832.0,,,Total Liabilities,summary,,,,,,,
SYSTEM,system,System Total,0.0,,,Total Equity,summary,,,,,,,
