agent_id,agent_kind,agent_name,amount,assets_cash,assets_payable,item_name,item_type,liabilities_cash,liabilities_payable,net_financial,total_financial_assets,total_financial_liabilities,total_inventory_value,total_nonfinancial_value
CB,,,,,,,,14556.0,,-14556.0,0,14556.0,0.0,0.0
H1,,,,2289.0,,,,,3957,-1668.0,2289.0,3957,0.0,0.0
H2,,,,842.0,,,,,,842.0,842.0,0,0.0,0.0
H3,,,,2780.0,,,,,3208,-428.0,2780.0,3208,0.0,0.0
H4,,,,2791.0,,,,,2481,310.0,2791.0,2481,0.0,0.0
H5,,,,2210.0,,,,,2458,-248.0,2210.0,2458,0.0,0.0
big_short,,,,,4457,,,,,4457,4457,0,0.0,0.0
big_mid,,,,2894.0,500,,,,,3394.0,3394.0,0,0.0,0.0
big_long,,,,750.0,500,,,,,1250.0,1250.0,0,0.0,0.0
dealer_short,,,,,,,,,,0,0,0,0.0,0.0
vbt_short,,,,,,,,,,0,0,0,0.0,0.0
dealer_mid,,,,,,,,,,0,0,0,0.0,0.0
vbt_mid,,,,,3939,,,,,3939,3939,0,0.0,0.0
dealer_long,,,,,,,,,,0,0,0,0.0,0.0
vbt_long,,,,,2708,,,,,2708,2708,0,0.0,0.0
SYSTEM,,,,14556.0,12104,,,14556.0,12104,0,26660.0,26660.0,0.0,0.0
SYSTEM,system,System Total,26660.0,,,Total Assets,summary,,,,,,,
SYSTEM,system,System Total,26660.0,,,Total Liabilities,summary,,,,,,,
SYSTEM,system,System Total,0.0,,,Total Equity,summary,,,,,,,
