run_id,regime,trader_id,liability_id,maturity_day,face_value,outcome,buy_count,sell_count,net_cash_pnl,strategy
balanced_active_b64c73cfd328,active,H2,PAY_c2e64fbfdcf8,1,892,repaid,0,0,0,no_trade
balanced_active_b64c73cfd328,active,H2,PAY_c667d4a48088,1,500,repaid,0,0,0,no_trade
balanced_active_b64c73cfd328,active,H1,PAY_48165a76cc07,2,4163,repaid,0,0,0,no_trade
balanced_active_b64c73cfd328,active,H1,PAY_17cc275684d9,2,500,repaid,0,0,0,no_trade
balanced_active_b64c73cfd328,active,H5,PAY_e84b71dc1d4a,8,2303,repaid,0,0,0,no_trade
balanced_active_b64c73cfd328,active,H5,PAY_b0f9cfa5cc2d,8,500,repaid,0,0,0,no_trade
balanced_active_b64c73cfd328,active,H4,PAY_72ed5400a4c2,9,4707,repaid,0,1,345.60,sell_before
balanced_active_b64c73cfd328,active,H4,PAY_af4adf53dd34,9,500,repaid,0,1,345.60,sell_before
balanced_active_b64c73cfd328,active,H3,PAY_2a6667c23ca4,10,432,repaid,0,0,0,no_trade
balanced_active_b64c73cfd328,active,H3,PAY_efcbcf05ea70,10,500,repaid,0,0,0,no_trade
