agent_id,agent_kind,agent_name,amount,assets_cash,assets_payable,item_name,item_type,liabilities_cash,liabilities_payable,net_financial,total_financial_assets,total_financial_liabilities,total_inventory_value,total_nonfinancial_value
CB,,,,,,,,10057.0,,-10057.0,0,10057.0,0.0,0.0
H1,,,,5588.0,,,,,6050,-462.0,5588.0,6050,0.0,0.0
H2,,,,125.0,5550,,,,,5675.0,5675.0,0,0.0,0.0
H3,,,,625.0,,,,,530,95.0,625.0,530,0.0,0.0
H4,,,,651.0,,,,,1904,-1253.0,651.0,1904,0.0,0.0
H5,,,,1818.0,,,,,6014,-4196.0,1818.0,6014,0.0,0.0
big_short,,,,,2404,,,,,2404,2404,0,0.0,0.0
big_mid,,,,1250.0,500,,,,,1750.0,1750.0,0,0.0,0.0
big_long,,,,,6014,,,,,6014,6014,0,0.0,0.0
dealer_short,,,,,,,,,,0,0,0,0.0,0.0
vbt_short,,,,,,,,,,0,0,0,0.0,0.0
dealer_mid,,,,,,,,,,0,0,0,0.0,0.0
vbt_mid,,,,,30,,,,,30,30,0,0.0,0.0
dealer_long,,,,,,,,,,0,0,0,0.0,0.0
vbt_long,,,,,,,,,,0,0,0,0.0,0.0
SYSTEM,,,,10057.0,14498,,,10057.0,14498,0,24555.0,24555.0,0.0,0.0
SYSTEM,system,System Total,24555.0,,,Total Assets,summary,,,,,,,
SYSTEM,system,System Total,24555.0,,,Total Liabilities,summary,,,,,,,
SYSTEM,system,System Total,0.0,,,Total Equity,summary,,,,,,,
