run_id,regime,day,total_face_value,face_bucket_short,face_bucket_mid,face_bucket_long,total_cash,debt_to_money
balanced_active_b9582abf0b27,active,0,200,80,40,80,40312.50000000000000000000001,0.004961240310077519379844961239
balanced_active_b9582abf0b27,active,1,160,40,80,40,39880.70000000000000000000001,0.004011965687663456258290350971
balanced_active_b9582abf0b27,active,2,120,0,120,0,39880.70000000000000000000001,0.003008974265747592193717763228
balanced_active_b9582abf0b27,active,3,120,0,120,0,39880.70000000000000000000001,0.003008974265747592193717763228
balanced_active_b9582abf0b27,active,4,120,0,120,0,39880.70000000000000000000001,0.003008974265747592193717763228
balanced_active_b9582abf0b27,active,5,120,40,80,0,39880.70000000000000000000001,0.003008974265747592193717763228
balanced_active_b9582abf0b27,active,6,120,80,40,0,39880.70000000000000000000001,0.003008974265747592193717763228
balanced_active_b9582abf0b27,active,7,120,120,0,0,39880.70000000000000000000001,0.003008974265747592193717763228
balanced_active_b9582abf0b27,active,8,80,80,0,0,39880.70000000000000000000001,0.002005982843831728129145175485
balanced_active_b9582abf0b27,active,9,40,40,0,0,39880.70000000000000000000001,0.001002991421915864064572587743
balanced_active_b9582abf0b27,active,10,0,0,0,0,39880.70000000000000000000001,0E+23
balanced_active_b9582abf0b27,active,11,0,0,0,0,39880.70000000000000000000001,0E+23
balanced_active_b9582abf0b27,active,12,0,0,0,0,39880.70000000000000000000001,0E+23
