agent_id,agent_kind,agent_name,amount,assets_cash,assets_payable,item_name,item_type,liabilities_cash,liabilities_payable,net_financial,total_financial_assets,total_financial_liabilities,total_inventory_value,total_nonfinancial_value
CB,,,,,,,,52400.0,,-52400.0,0,52400.0,0.0,0.0
H1,,,,10000.0,979,,,,683,10296.0,10979.0,683,0.0,0.0
H2,,,,9448.0,685,,,,1002,9131.0,10133.0,1002,0.0,0.0
H3,,,,10452.0,,,,,11251,-799.0,10452.0,11251,0.0,0.0
H4,,,,10000.0,10751,,,,582,20169.0,20751.0,582,0.0,0.0
H5,,,,10000.0,82,,,,1479,8603.0,10082.0,1479,0.0,0.0
big_short,,,,833.3333333333334,1000,,,,,1833.3333333333335,1833.3333333333335,0,0.0,0.0
big_mid,,,,833.3333333333334,1000,,,,,1833.3333333333335,1833.3333333333335,0,0.0,0.0
big_long,,,,833.3333333333334,500,,,,,1333.3333333333335,1333.3333333333335,0,0.0,0.0
dealer_short,,,,,,,,,,0,0,0,0.0,0.0
vbt_short,,,,,,,,,,0,0,0,0.0,0.0
dealer_mid,,,,,,,,,,0,0,0,0.0,0.0
vbt_mid,,,,,,,,,,0,0,0,0.0,0.0
dealer_long,,,,,,,,,,0,0,0,0.0,0.0
vbt_long,,,,,,,,,,0,0,0,0.0,0.0
SYSTEM,,,,52400.0,14997,,,52400.0,14997,0,67397.0,67397.0,0.0,0.0
SYSTEM,system,System Total,67397.0,,,Total Assets,summary,,,,,,,
SYSTEM,system,System Total,67397.0,,,Total Liabilities,summary,,,,,,,
SYSTEM,system,System Total,0.0,,,Total Equity,summary,,,,,,,
