agent_id,agent_kind,agent_name,amount,assets_cash,assets_payable,item_name,item_type,liabilities_cash,liabilities_payable,net_financial,total_financial_assets,total_financial_liabilities,total_inventory_value,total_nonfinancial_value
CB,,,,,,,,13144.0,,-13144.0,0,13144.0,0.0,0.0
H1,,,,2295.0,,,,,2948,-653.0,2295.0,2948,0.0,0.0
H2,,,,3331.0,,,,,4684,-1353.0,3331.0,4684,0.0,0.0
H3,,,,5016.0,,,,,5202,-186.0,5016.0,5202,0.0,0.0
H4,,,,,5863,,,,502,5361,5863,502,0.0,0.0
H5,,,,1252.0,,,,,1661,-409.0,1252.0,1661,0.0,0.0
big_short,,,,625.0,1000,,,,,1625.0,1625.0,0,0.0,0.0
big_mid,,,,625.0,1000,,,,,1625.0,1625.0,0,0.0,0.0
big_long,,,,,4684,,,,,4684,4684,0,0.0,0.0
dealer_short,,,,,,,,,,0,0,0,0.0,0.0
vbt_short,,,,,2448,,,,,2448,2448,0,0.0,0.0
dealer_mid,,,,,,,,,,0,0,0,0.0,0.0
vbt_mid,,,,,2,,,,,2,2,0,0.0,0.0
dealer_long,,,,,,,,,,0,0,0,0.0,0.0
vbt_long,,,,,,,,,,0,0,0,0.0,0.0
SYSTEM,,,,13144.0,14997,,,13144.0,14997,0,28141.0,28141.0,0.0,0.0
SYSTEM,system,System Total,28141.0,,,Total Assets,summary,,,,,,,
SYSTEM,system,System Total,28141.0,,,Total Liabilities,summary,,,,,,,
SYSTEM,system,System Total,0.0,,,Total Equity,summary,,,,,,,
