run_id,regime,day,total_face_value,face_bucket_short,face_bucket_mid,face_bucket_long,total_cash,debt_to_money
balanced_active_bddc73ad8389,active,0,200,80,80,40,40312.50000000000000000000001,0.004961240310077519379844961239
balanced_active_bddc73ad8389,active,1,160,40,120,0,39984.80000000000000000000001,0.004001520577819571437146115523
balanced_active_bddc73ad8389,active,2,160,80,80,0,39984.80000000000000000000001,0.004001520577819571437146115523
balanced_active_bddc73ad8389,active,3,120,40,80,0,39984.80000000000000000000001,0.003001140433364678577859586642
balanced_active_bddc73ad8389,active,4,120,80,40,0,39984.80000000000000000000001,0.003001140433364678577859586642
balanced_active_bddc73ad8389,active,5,80,40,40,0,39984.80000000000000000000001,0.002000760288909785718573057761
balanced_active_bddc73ad8389,active,6,80,80,0,0,39984.80000000000000000000001,0.002000760288909785718573057761
balanced_active_bddc73ad8389,active,7,40,40,0,0,39984.80000000000000000000001,0.001000380144454892859286528881
balanced_active_bddc73ad8389,active,8,40,40,0,0,39984.80000000000000000000001,0.001000380144454892859286528881
balanced_active_bddc73ad8389,active,9,0,0,0,0,39984.80000000000000000000001,0E+23
