agent_id,agent_kind,agent_name,amount,assets_cash,assets_payable,item_name,item_type,liabilities_cash,liabilities_payable,net_financial,total_financial_assets,total_financial_liabilities,total_inventory_value,total_nonfinancial_value
CB,,,,,,,,21967.0,,-21967.0,0,21967.0,0.0,0.0
H1,,,,5283.0,,,,,2842,2441.0,5283.0,2842,0.0,0.0
H2,,,,1565.0,,,,,,1565.0,1565.0,0,0.0,0.0
H3,,,,4926.0,,,,,2175,2751.0,4926.0,2175,0.0,0.0
H4,,,,3924.0,,,,,3463,461.0,3924.0,3463,0.0,0.0
H5,,,,5019.0,,,,,3592,1427.0,5019.0,3592,0.0,0.0
big_short,,,,750.0,1000,,,,,1750.0,1750.0,0,0.0,0.0
big_mid,,,,500.0,3592,,,,,4092.0,4092.0,0,0.0,0.0
big_long,,,,,2842,,,,,2842,2842,0,0.0,0.0
dealer_short,,,,,,,,,,0,0,0,0.0,0.0
vbt_short,,,,,,,,,,0,0,0,0.0,0.0
dealer_mid,,,,,,,,,,0,0,0,0.0,0.0
vbt_mid,,,,,4638,,,,,4638,4638,0,0.0,0.0
dealer_long,,,,,,,,,,0,0,0,0.0,0.0
vbt_long,,,,,,,,,,0,0,0,0.0,0.0
SYSTEM,,,,21967.0,12072,,,21967.0,12072,0,34039.0,34039.0,0.0,0.0
SYSTEM,system,System Total,34039.0,,,Total Assets,summary,,,,,,,
SYSTEM,system,System Total,34039.0,,,Total Liabilities,summary,,,,,,,
SYSTEM,system,System Total,0.0,,,Total Equity,summary,,,,,,,
