run_id,regime,day,total_face_value,face_bucket_short,face_bucket_mid,face_bucket_long,total_cash,debt_to_money
balanced_active_cf6cabbf5672,active,0,200,80,40,80,21749.99999999999969999999999,0.009195402298850574839476813322
balanced_active_cf6cabbf5672,active,1,160,40,80,40,21702.19999999999969999999999,0.007372524444526361484630928359
balanced_active_cf6cabbf5672,active,2,120,0,120,0,21702.19999999999969999999999,0.005529393333394771113473196269
balanced_active_cf6cabbf5672,active,3,120,0,120,0,21702.19999999999969999999999,0.005529393333394771113473196269
balanced_active_cf6cabbf5672,active,4,120,0,120,0,21702.19999999999969999999999,0.005529393333394771113473196269
balanced_active_cf6cabbf5672,active,5,120,40,80,0,21702.19999999999969999999999,0.005529393333394771113473196269
balanced_active_cf6cabbf5672,active,6,120,80,40,0,21702.19999999999969999999999,0.005529393333394771113473196269
balanced_active_cf6cabbf5672,active,7,120,120,0,0,21702.19999999999969999999999,0.005529393333394771113473196269
balanced_active_cf6cabbf5672,active,8,80,80,0,0,21702.19999999999969999999999,0.003686262222263180742315464179
balanced_active_cf6cabbf5672,active,9,40,40,0,0,21702.19999999999969999999999,0.001843131111131590371157732090
balanced_active_cf6cabbf5672,active,10,0,0,0,0,21702.19999999999969999999999,0E+23
