agent_id,agent_kind,agent_name,amount,assets_cash,assets_payable,item_name,item_type,liabilities_cash,liabilities_payable,net_financial,total_financial_assets,total_financial_liabilities,total_inventory_value,total_nonfinancial_value
CB,,,,,,,,15029.333333333334,,-15029.333333333334,0,15029.333333333334,0.0,0.0
H1,,,,3414.0,,,,,1224,2190.0,3414.0,1224,0.0,0.0
H2,,,,544.0,,,,,,544.0,544.0,0,0.0,0.0
H3,,,,801.0,,,,,2335,-1534.0,801.0,2335,0.0,0.0
H4,,,,2185.0,,,,,7144,-4959.0,2185.0,7144,0.0,0.0
H5,,,,6272.0,,,,,3599,2673.0,6272.0,3599,0.0,0.0
big_short,,,,666.6666666666666,1000,,,,,1666.6666666666665,1666.6666666666665,0,0.0,0.0
big_mid,,,,1146.6666666666665,500,,,,,1646.6666666666665,1646.6666666666665,0,0.0,0.0
big_long,,,,,3599,,,,,3599,3599,0,0.0,0.0
dealer_short,,,,,,,,,,0,0,0,0.0,0.0
vbt_short,,,,,724,,,,,724,724,0,0.0,0.0
dealer_mid,,,,,,,,,,0,0,0,0.0,0.0
vbt_mid,,,,,8479,,,,,8479,8479,0,0.0,0.0
dealer_long,,,,,,,,,,0,0,0,0.0,0.0
vbt_long,,,,,,,,,,0,0,0,0.0,0.0
SYSTEM,,,,15029.333333333334,14302,,,15029.333333333334,14302,0,29331.333333333332,29331.333333333332,0.0,0.0
SYSTEM,system,System Total,29331.333333333332,,,Total Assets,summary,,,,,,,
SYSTEM,system,System Total,29331.333333333332,,,Total Liabilities,summary,,,,,,,
SYSTEM,system,System Total,0.0,,,Total Equity,summary,,,,,,,
