agent_id,agent_kind,agent_name,amount,assets_cash,assets_payable,item_name,item_type,liabilities_cash,liabilities_payable,net_financial,total_financial_assets,total_financial_liabilities,total_inventory_value,total_nonfinancial_value
CB,,,,,,,,14191.0,,-14191.0,0,14191.0,0.0,0.0
H1,,,,1777.0,,,,,1934,-157.0,1777.0,1934,0.0,0.0
H2,,,,364.0,,,,,,364.0,364.0,0,0.0,0.0
H3,,,,1572.0,,,,,6724,-5152.0,1572.0,6724,0.0,0.0
H4,,,,5604.0,,,,,2934,2670.0,5604.0,2934,0.0,0.0
H5,,,,2572.0,,,,,1855,717.0,2572.0,1855,0.0,0.0
big_short,,,,750.0,1000,,,,,1750.0,1750.0,0,0.0,0.0
big_mid,,,,1552.0,500,,,,,2052.0,2052.0,0,0.0,0.0
big_long,,,,,1934,,,,,1934,1934,0,0.0,0.0
dealer_short,,,,,,,,,,0,0,0,0.0,0.0
vbt_short,,,,,,,,,,0,0,0,0.0,0.0
dealer_mid,,,,,,,,,,0,0,0,0.0,0.0
vbt_mid,,,,,3789,,,,,3789,3789,0,0.0,0.0
dealer_long,,,,,,,,,,0,0,0,0.0,0.0
vbt_long,,,,,6224,,,,,6224,6224,0,0.0,0.0
SYSTEM,,,,14191.0,13447,,,14191.0,13447,0,27638.0,27638.0,0.0,0.0
SYSTEM,system,System Total,27638.0,,,Total Assets,summary,,,,,,,
SYSTEM,system,System Total,27638.0,,,Total Liabilities,summary,,,,,,,
SYSTEM,system,System Total,0.0,,,Total Equity,summary,,,,,,,
