agent_id,agent_kind,agent_name,amount,assets_cash,assets_payable,item_name,item_type,liabilities_cash,liabilities_payable,net_financial,total_financial_assets,total_financial_liabilities,total_inventory_value,total_nonfinancial_value
CB,,,,,,,,27486.0,,-27486.0,0,27486.0,0.0,0.0
H1,,,,5000.0,662,,,,2716,2946.0,5662.0,2716,0.0,0.0
H2,,,,4921.0,2288,,,,572,6637.0,7209.0,572,0.0,0.0
H3,,,,5065.0,,,,,9553,-4488.0,5065.0,9553,0.0,0.0
H4,,,,5000.0,9053,,,,994,13059.0,14053.0,994,0.0,0.0
H5,,,,5000.0,494,,,,1162,4332.0,5494.0,1162,0.0,0.0
big_short,,,,833.3333333333334,1000,,,,,1833.3333333333335,1833.3333333333335,0,0.0,0.0
big_mid,,,,833.3333333333334,1000,,,,,1833.3333333333335,1833.3333333333335,0,0.0,0.0
big_long,,,,833.3333333333334,500,,,,,1333.3333333333335,1333.3333333333335,0,0.0,0.0
dealer_short,,,,,,,,,,0,0,0,0.0,0.0
vbt_short,,,,,,,,,,0,0,0,0.0,0.0
dealer_mid,,,,,,,,,,0,0,0,0.0,0.0
vbt_mid,,,,,,,,,,0,0,0,0.0,0.0
dealer_long,,,,,,,,,,0,0,0,0.0,0.0
vbt_long,,,,,,,,,,0,0,0,0.0,0.0
SYSTEM,,,,27486.0,14997,,,27486.0,14997,0,42483.0,42483.0,0.0,0.0
SYSTEM,system,System Total,42483.0,,,Total Assets,summary,,,,,,,
SYSTEM,system,System Total,42483.0,,,Total Liabilities,summary,,,,,,,
SYSTEM,system,System Total,0.0,,,Total Equity,summary,,,,,,,
