run_id,regime,day,total_face_value,face_bucket_short,face_bucket_mid,face_bucket_long,total_cash,debt_to_money
balanced_active_df93cb0e525a,active,0,200,80,120,0,40499.99999999999970000000001,0.004938271604938271641518061270
balanced_active_df93cb0e525a,active,1,160,80,80,0,40499.99999999999970000000001,0.003950617283950617313214449016
balanced_active_df93cb0e525a,active,2,120,80,40,0,40499.99999999999970000000001,0.002962962962962962984910836762
balanced_active_df93cb0e525a,active,3,120,80,40,0,40499.99999999999970000000001,0.002962962962962962984910836762
balanced_active_df93cb0e525a,active,4,80,40,40,0,40499.99999999999970000000001,0.001975308641975308656607224508
balanced_active_df93cb0e525a,active,5,40,40,0,0,40499.99999999999970000000001,0.0009876543209876543283036122540
balanced_active_df93cb0e525a,active,6,40,40,0,0,40499.99999999999970000000001,0.0009876543209876543283036122540
balanced_active_df93cb0e525a,active,7,40,40,0,0,40499.99999999999970000000001,0.0009876543209876543283036122540
balanced_active_df93cb0e525a,active,8,0,0,0,0,40499.99999999999970000000001,0E+23
balanced_active_df93cb0e525a,active,9,0,0,0,0,40499.99999999999970000000001,0E+23
balanced_active_df93cb0e525a,active,10,0,0,0,0,40499.99999999999970000000001,0E+23
