run_id,regime,day,total_face_value,face_bucket_short,face_bucket_mid,face_bucket_long,total_cash,debt_to_money
balanced_active_e17a123c5a68,active,0,200,80,80,40,39375.00000000000015000000001,0.005079365079365079345729402871
balanced_active_e17a123c5a68,active,1,160,40,120,0,38723.30000000000015000000001,0.004131879256158436894071995711
balanced_active_e17a123c5a68,active,2,160,80,80,0,38723.30000000000015000000001,0.004131879256158436894071995711
balanced_active_e17a123c5a68,active,3,120,40,80,0,38723.30000000000015000000001,0.003098909442118827670553996784
balanced_active_e17a123c5a68,active,4,120,80,40,0,38723.30000000000015000000001,0.003098909442118827670553996784
balanced_active_e17a123c5a68,active,5,80,40,40,0,38723.30000000000015000000001,0.002065939628079218447035997856
balanced_active_e17a123c5a68,active,6,80,80,0,0,38723.30000000000015000000001,0.002065939628079218447035997856
balanced_active_e17a123c5a68,active,7,40,40,0,0,38723.30000000000015000000001,0.001032969814039609223517998928
balanced_active_e17a123c5a68,active,8,40,40,0,0,38723.30000000000015000000001,0.001032969814039609223517998928
balanced_active_e17a123c5a68,active,9,0,0,0,0,38723.30000000000015000000001,0E+23
balanced_active_e17a123c5a68,active,10,0,0,0,0,38723.30000000000015000000001,0E+23
balanced_active_e17a123c5a68,active,11,0,0,0,0,38723.30000000000015000000001,0E+23
