agent_id,agent_kind,agent_name,amount,assets_cash,assets_payable,item_name,item_type,liabilities_cash,liabilities_payable,net_financial,total_financial_assets,total_financial_liabilities,total_inventory_value,total_nonfinancial_value
CB,,,,,,,,14480.666666666666,,-14480.666666666666,0,14480.666666666666,0.0,0.0
H1,,,,1241.0,,,,,3801,-2560.0,1241.0,3801,0.0,0.0
H2,,,,337.0,,,,,500,-163.0,337.0,500,0.0,0.0
H3,,,,3558.0,,,,,3539,19.0,3558.0,3539,0.0,0.0
H4,,,,3056.0,,,,,2673,383.0,3056.0,2673,0.0,0.0
H5,,,,2363.0,,,,,1225,1138.0,2363.0,1225,0.0,0.0
big_short,,,,666.6666666666666,1000,,,,,1666.6666666666665,1666.6666666666665,0,0.0,0.0
big_mid,,,,3259.0,1000,,,,,4259.0,4259.0,0,0.0,0.0
big_long,,,,,3801,,,,,3801,3801,0,0.0,0.0
dealer_short,,,,,,,,,,0,0,0,0.0,0.0
vbt_short,,,,,,,,,,0,0,0,0.0,0.0
dealer_mid,,,,,,,,,,0,0,0,0.0,0.0
vbt_mid,,,,,2898,,,,,2898,2898,0,0.0,0.0
dealer_long,,,,,,,,,,0,0,0,0.0,0.0
vbt_long,,,,,3039,,,,,3039,3039,0,0.0,0.0
SYSTEM,,,,14480.666666666666,11738,,,14480.666666666666,11738,0,26218.666666666668,26218.666666666668,0.0,0.0
SYSTEM,system,System Total,26218.666666666668,,,Total Assets,summary,,,,,,,
SYSTEM,system,System Total,26218.666666666668,,,Total Liabilities,summary,,,,,,,
SYSTEM,system,System Total,0.0,,,Total Equity,summary,,,,,,,
