run_id,regime,trader_id,liability_id,maturity_day,face_value,outcome,buy_count,sell_count,net_cash_pnl,strategy
balanced_active_f1a661b47520,active,H2,PAY_a39ea2b93201,1,1559,repaid,0,0,0,no_trade
balanced_active_f1a661b47520,active,H2,PAY_15c8f38af503,1,500,repaid,0,0,0,no_trade
balanced_active_f1a661b47520,active,H5,PAY_99314a39c9c7,3,2101,repaid,0,0,0,no_trade
balanced_active_f1a661b47520,active,H5,PAY_a4dc1d87a10e,3,500,repaid,0,0,0,no_trade
balanced_active_f1a661b47520,active,H3,PAY_b3f259eaf404,5,2943,repaid,0,0,0,no_trade
balanced_active_f1a661b47520,active,H3,PAY_7935771f0ea0,5,500,repaid,0,0,0,no_trade
balanced_active_f1a661b47520,active,H1,PAY_7a75585c48f4,7,2771,repaid,0,0,0,no_trade
balanced_active_f1a661b47520,active,H1,PAY_c1bf276f9aa3,7,500,repaid,0,0,0,no_trade
balanced_active_f1a661b47520,active,H4,PAY_6120e637b1dd,9,3123,repaid,0,0,0,no_trade
balanced_active_f1a661b47520,active,H4,PAY_9b0d187e90ac,9,500,repaid,0,0,0,no_trade
