agent_id,agent_kind,agent_name,amount,assets_cash,assets_payable,item_name,item_type,liabilities_cash,liabilities_payable,net_financial,total_financial_assets,total_financial_liabilities,total_inventory_value,total_nonfinancial_value
CB,,,,,,,,7500.0,,-7500.0,0,7500.0,0.0,0.0
H1,,,,55.0,3015,,,,500,2570.0,3070.0,500,0.0,0.0
H2,,,,1836.0,,,,,,1836.0,1836.0,0,0.0,0.0
H3,,,,1359.0,,,,,3321,-1962.0,1359.0,3321,0.0,0.0
H4,,,,1250.0,2821,,,,5858,-1787.0,4071.0,5858,0.0,0.0
H5,,,,1250.0,5358,,,,3515,3093.0,6608.0,3515,0.0,0.0
big_short,,,,416.6666666666667,1000,,,,,1416.6666666666667,1416.6666666666667,0,0.0,0.0
big_mid,,,,916.6666666666667,500,,,,,1416.6666666666667,1416.6666666666667,0,0.0,0.0
big_long,,,,416.6666666666667,500,,,,,916.6666666666667,916.6666666666667,0,0.0,0.0
SYSTEM,,,,7500.0,13194,,,7500.0,13194,0,20694.0,20694.0,0.0,0.0
SYSTEM,system,System Total,20694.0,,,Total Assets,summary,,,,,,,
SYSTEM,system,System Total,20694.0,,,Total Liabilities,summary,,,,,,,
SYSTEM,system,System Total,0.0,,,Total Equity,summary,,,,,,,
