agent_id,agent_kind,agent_name,amount,assets_cash,assets_payable,item_name,item_type,liabilities_cash,liabilities_payable,net_financial,total_financial_assets,total_financial_liabilities,total_inventory_value,total_nonfinancial_value
CB,,,,,,,,27500.0,,-27500.0,0,27500.0,0.0,0.0
H1,,,,2946.0,,,,,,2946.0,2946.0,0,0.0,0.0
H2,,,,6644.0,,,,,,6644.0,6644.0,0,0.0,0.0
H3,,,,5072.0,,,,,9553,-4481.0,5072.0,9553,0.0,0.0
H4,,,,4006.0,9053,,,,,13059.0,13059.0,0,0.0,0.0
H5,,,,4332.0,,,,,,4332.0,4332.0,0,0.0,0.0
big_short,,,,1833.3333333333335,,,,,,1833.3333333333335,1833.3333333333335,0,0.0,0.0
big_mid,,,,1833.3333333333335,,,,,,1833.3333333333335,1833.3333333333335,0,0.0,0.0
big_long,,,,833.3333333333334,500,,,,,1333.3333333333335,1333.3333333333335,0,0.0,0.0
SYSTEM,,,,27500.0,9553,,,27500.0,9553,0,37053.0,37053.0,0.0,0.0
SYSTEM,system,System Total,37053.0,,,Total Assets,summary,,,,,,,
SYSTEM,system,System Total,37053.0,,,Total Liabilities,summary,,,,,,,
SYSTEM,system,System Total,0.0,,,Total Equity,summary,,,,,,,
