agent_id,agent_kind,agent_name,amount,assets_cash,assets_payable,item_name,item_type,liabilities_cash,liabilities_payable,net_financial,total_financial_assets,total_financial_liabilities,total_inventory_value,total_nonfinancial_value
CB,,,,,,,,27250.0,,-27250.0,0,27250.0,0.0,0.0
H1,,,,5000.0,5240,,,,2931,7309.0,10240.0,2931,0.0,0.0
H2,,,,2711.0,2431,,,,,5142.0,5142.0,0,0.0,0.0
H3,,,,6789.0,,,,,2696,4093.0,6789.0,2696,0.0,0.0
H4,,,,5000.0,2196,,,,1342,5854.0,7196.0,1342,0.0,0.0
H5,,,,5000.0,842,,,,5740,102.0,5842.0,5740,0.0,0.0
big_short,,,,750.0,1000,,,,,1750.0,1750.0,0,0.0,0.0
big_mid,,,,1250.0,500,,,,,1750.0,1750.0,0,0.0,0.0
big_long,,,,750.0,500,,,,,1250.0,1250.0,0,0.0,0.0
SYSTEM,,,,27250.0,12709,,,27250.0,12709,0,39959.0,39959.0,0.0,0.0
SYSTEM,system,System Total,39959.0,,,Total Assets,summary,,,,,,,
SYSTEM,system,System Total,39959.0,,,Total Liabilities,summary,,,,,,,
SYSTEM,system,System Total,0.0,,,Total Equity,summary,,,,,,,
