agent_id,agent_kind,agent_name,amount,assets_cash,assets_payable,item_name,item_type,liabilities_cash,liabilities_payable,net_financial,total_financial_assets,total_financial_liabilities,total_inventory_value,total_nonfinancial_value
CB,,,,,,,,13750.0,,-13750.0,0,13750.0,0.0,0.0
H1,,,,2500.0,,,,,12330,-9830.0,2500.0,12330,0.0,0.0
H2,,,,1460.0,11830,,,,,13290.0,13290.0,0,0.0,0.0
H3,,,,3040.0,,,,,500,2540.0,3040.0,500,0.0,0.0
H4,,,,2500.0,0,,,,629,1871.0,2500.0,629,0.0,0.0
H5,,,,2000.0,129,,,,,2129.0,2129.0,0,0.0,0.0
big_short,,,,416.6666666666667,1000,,,,,1416.6666666666667,1416.6666666666667,0,0.0,0.0
big_mid,,,,1416.6666666666667,,,,,,1416.6666666666667,1416.6666666666667,0,0.0,0.0
big_long,,,,416.6666666666667,500,,,,,916.6666666666667,916.6666666666667,0,0.0,0.0
SYSTEM,,,,13750.0,13459,,,13750.0,13459,0,27209.0,27209.0,0.0,0.0
SYSTEM,system,System Total,27209.0,,,Total Assets,summary,,,,,,,
SYSTEM,system,System Total,27209.0,,,Total Liabilities,summary,,,,,,,
SYSTEM,system,System Total,0.0,,,Total Equity,summary,,,,,,,
