agent_id,agent_kind,agent_name,amount,assets_cash,assets_payable,item_name,item_type,liabilities_cash,liabilities_payable,net_financial,total_financial_assets,total_financial_liabilities,total_inventory_value,total_nonfinancial_value
CB,,,,,,,,15000.0,,-15000.0,0,15000.0,0.0,0.0
H1,,,,2500.0,2641,,,,2404,2737.0,5141.0,2404,0.0,0.0
H2,,,,2500.0,1904,,,,4053,351.0,4404.0,4053,0.0,0.0
H3,,,,2500.0,3553,,,,525,5528.0,6053.0,525,0.0,0.0
H4,,,,2500.0,25,,,,4874,-2349.0,2525.0,4874,0.0,0.0
H5,,,,2500.0,4374,,,,3141,3733.0,6874.0,3141,0.0,0.0
big_short,,,,833.3333333333334,1000,,,,,1833.3333333333335,1833.3333333333335,0,0.0,0.0
big_mid,,,,833.3333333333334,1000,,,,,1833.3333333333335,1833.3333333333335,0,0.0,0.0
big_long,,,,833.3333333333334,500,,,,,1333.3333333333335,1333.3333333333335,0,0.0,0.0
SYSTEM,,,,15000.0,14997,,,15000.0,14997,0,29997.0,29997.0,0.0,0.0
SYSTEM,system,System Total,29997.0,,,Total Assets,summary,,,,,,,
SYSTEM,system,System Total,29997.0,,,Total Liabilities,summary,,,,,,,
SYSTEM,system,System Total,0.0,,,Total Equity,summary,,,,,,,
