agent_id,agent_kind,agent_name,amount,assets_cash,assets_payable,item_name,item_type,liabilities_cash,liabilities_payable,net_financial,total_financial_assets,total_financial_liabilities,total_inventory_value,total_nonfinancial_value
CB,,,,,,,,7500.0,,-7500.0,0,7500.0,0.0,0.0
H1,,,,1250.0,1507,,,,2897,-140.0,2757.0,2897,0.0,0.0
H2,,,,1250.0,2397,,,,5209,-1562.0,3647.0,5209,0.0,0.0
H3,,,,1250.0,4709,,,,1554,4405.0,5959.0,1554,0.0,0.0
H4,,,,1250.0,1054,,,,3330,-1026.0,2304.0,3330,0.0,0.0
H5,,,,1250.0,2830,,,,2007,2073.0,4080.0,2007,0.0,0.0
big_short,,,,416.6666666666667,1000,,,,,1416.6666666666667,1416.6666666666667,0,0.0,0.0
big_mid,,,,416.6666666666667,1000,,,,,1416.6666666666667,1416.6666666666667,0,0.0,0.0
big_long,,,,416.6666666666667,500,,,,,916.6666666666667,916.6666666666667,0,0.0,0.0
SYSTEM,,,,7500.0,14997,,,7500.0,14997,0,22497.0,22497.0,0.0,0.0
SYSTEM,system,System Total,22497.0,,,Total Assets,summary,,,,,,,
SYSTEM,system,System Total,22497.0,,,Total Liabilities,summary,,,,,,,
SYSTEM,system,System Total,0.0,,,Total Equity,summary,,,,,,,
