agent_id,agent_kind,agent_name,amount,assets_cash,item_name,item_type,liabilities_cash,net_financial,total_financial_assets,total_financial_liabilities,total_inventory_value,total_nonfinancial_value
CB,,,,,,,51250.0,-51250.0,0,51250.0,0.0,0.0
H1,,,,9346.0,,,,9346.0,9346.0,0,0.0,0.0
H2,,,,9625.0,,,,9625.0,9625.0,0,0.0,0.0
H3,,,,7425.0,,,,7425.0,7425.0,0,0.0,0.0
H4,,,,4058.0,,,,4058.0,4058.0,0,0.0,0.0
H5,,,,17046.0,,,,17046.0,17046.0,0,0.0,0.0
big_short,,,,1416.6666666666667,,,,1416.6666666666667,1416.6666666666667,0,0.0,0.0
big_mid,,,,1416.6666666666667,,,,1416.6666666666667,1416.6666666666667,0,0.0,0.0
big_long,,,,916.6666666666667,,,,916.6666666666667,916.6666666666667,0,0.0,0.0
SYSTEM,,,,51250.0,,,51250.0,0,51250.0,51250.0,0.0,0.0
SYSTEM,system,System Total,51250.0,,Total Assets,summary,,,,,,
SYSTEM,system,System Total,51250.0,,Total Liabilities,summary,,,,,,
SYSTEM,system,System Total,0.0,,Total Equity,summary,,,,,,
