agent_id,agent_kind,agent_name,amount,assets_cash,assets_payable,item_name,item_type,liabilities_cash,liabilities_payable,net_financial,total_financial_assets,total_financial_liabilities,total_inventory_value,total_nonfinancial_value
CB,,,,,,,,8750.0,,-8750.0,0,8750.0,0.0,0.0
H1,,,,1250.0,3149,,,,2472,1927.0,4399.0,2472,0.0,0.0
H2,,,,1250.0,1972,,,,3195,27.0,3222.0,3195,0.0,0.0
H3,,,,1250.0,2695,,,,2438,1507.0,3945.0,2438,0.0,0.0
H4,,,,1250.0,1938,,,,3244,-56.0,3188.0,3244,0.0,0.0
H5,,,,1250.0,2744,,,,3649,345.0,3994.0,3649,0.0,0.0
big_short,,,,833.3333333333334,1000,,,,,1833.3333333333335,1833.3333333333335,0,0.0,0.0
big_mid,,,,833.3333333333334,1000,,,,,1833.3333333333335,1833.3333333333335,0,0.0,0.0
big_long,,,,833.3333333333334,500,,,,,1333.3333333333335,1333.3333333333335,0,0.0,0.0
SYSTEM,,,,8750.0,14998,,,8750.0,14998,0,23748.0,23748.0,0.0,0.0
SYSTEM,system,System Total,23748.0,,,Total Assets,summary,,,,,,,
SYSTEM,system,System Total,23748.0,,,Total Liabilities,summary,,,,,,,
SYSTEM,system,System Total,0.0,,,Total Equity,summary,,,,,,,
