agent_id,agent_kind,agent_name,amount,assets_cash,assets_payable,item_name,item_type,liabilities_cash,liabilities_payable,net_financial,total_financial_assets,total_financial_liabilities,total_inventory_value,total_nonfinancial_value
CB,,,,,,,,8125.0,,-8125.0,0,8125.0,0.0,0.0
H1,,,,1250.0,1537,,,,3973,-1186.0,2787.0,3973,0.0,0.0
H2,,,,1250.0,3473,,,,2736,1987.0,4723.0,2736,0.0,0.0
H3,,,,1250.0,2236,,,,5218,-1732.0,3486.0,5218,0.0,0.0
H4,,,,1250.0,4718,,,,1034,4934.0,5968.0,1034,0.0,0.0
H5,,,,1250.0,534,,,,2037,-253.0,1784.0,2037,0.0,0.0
big_short,,,,625.0,1000,,,,,1625.0,1625.0,0,0.0,0.0
big_mid,,,,625.0,1000,,,,,1625.0,1625.0,0,0.0,0.0
big_long,,,,625.0,500,,,,,1125.0,1125.0,0,0.0,0.0
SYSTEM,,,,8125.0,14998,,,8125.0,14998,0,23123.0,23123.0,0.0,0.0
SYSTEM,system,System Total,23123.0,,,Total Assets,summary,,,,,,,
SYSTEM,system,System Total,23123.0,,,Total Liabilities,summary,,,,,,,
SYSTEM,system,System Total,0.0,,,Total Equity,summary,,,,,,,
