agent_id,agent_kind,agent_name,amount,assets_cash,assets_payable,item_name,item_type,liabilities_cash,liabilities_payable,net_financial,total_financial_assets,total_financial_liabilities,total_inventory_value,total_nonfinancial_value
CB,,,,,,,,8500.0,,-8500.0,0,8500.0,0.0,0.0
H1,,,,1250.0,3732,,,,2808,2174.0,4982.0,2808,0.0,0.0
H2,,,,1250.0,2308,,,,2579,979.0,3558.0,2579,0.0,0.0
H3,,,,1250.0,2079,,,,2023,1306.0,3329.0,2023,0.0,0.0
H4,,,,1250.0,1523,,,,3356,-583.0,2773.0,3356,0.0,0.0
H5,,,,1250.0,2856,,,,4232,-126.0,4106.0,4232,0.0,0.0
big_short,,,,750.0,1000,,,,,1750.0,1750.0,0,0.0,0.0
big_mid,,,,750.0,1000,,,,,1750.0,1750.0,0,0.0,0.0
big_long,,,,750.0,500,,,,,1250.0,1250.0,0,0.0,0.0
SYSTEM,,,,8500.0,14998,,,8500.0,14998,0,23498.0,23498.0,0.0,0.0
SYSTEM,system,System Total,23498.0,,,Total Assets,summary,,,,,,,
SYSTEM,system,System Total,23498.0,,,Total Liabilities,summary,,,,,,,
SYSTEM,system,System Total,0.0,,,Total Equity,summary,,,,,,,
