agent_id,agent_kind,agent_name,amount,assets_cash,assets_payable,item_name,item_type,liabilities_cash,liabilities_payable,net_financial,total_financial_assets,total_financial_liabilities,total_inventory_value,total_nonfinancial_value
CB,,,,,,,,8250.0,,-8250.0,0,8250.0,0.0,0.0
H1,,,,1250.0,1341,,,,3470,-879.0,2591.0,3470,0.0,0.0
H2,,,,1250.0,2970,,,,2925,1295.0,4220.0,2925,0.0,0.0
H3,,,,1250.0,2425,,,,5123,-1448.0,3675.0,5123,0.0,0.0
H4,,,,1250.0,4623,,,,1639,4234.0,5873.0,1639,0.0,0.0
H5,,,,1250.0,1139,,,,1841,548.0,2389.0,1841,0.0,0.0
big_short,,,,666.6666666666666,1000,,,,,1666.6666666666665,1666.6666666666665,0,0.0,0.0
big_mid,,,,666.6666666666666,1000,,,,,1666.6666666666665,1666.6666666666665,0,0.0,0.0
big_long,,,,666.6666666666666,500,,,,,1166.6666666666665,1166.6666666666665,0,0.0,0.0
SYSTEM,,,,8250.0,14998,,,8250.0,14998,0,23248.0,23248.0,0.0,0.0
SYSTEM,system,System Total,23248.0,,,Total Assets,summary,,,,,,,
SYSTEM,system,System Total,23248.0,,,Total Liabilities,summary,,,,,,,
SYSTEM,system,System Total,0.0,,,Total Equity,summary,,,,,,,
