agent_id,agent_kind,agent_name,amount,assets_cash,assets_payable,item_name,item_type,liabilities_cash,liabilities_payable,net_financial,total_financial_assets,total_financial_liabilities,total_inventory_value,total_nonfinancial_value
CB,,,,,,,,15000.0,,-15000.0,0,15000.0,0.0,0.0
H1,,,,2500.0,2611,,,,1842,3269.0,5111.0,1842,0.0,0.0
H2,,,,688.0,1342,,,,,2030.0,2030.0,0,0.0,0.0
H3,,,,944.0,,,,,,944.0,944.0,0,0.0,0.0
H4,,,,3.0,,,,,500,-497.0,3.0,500,0.0,0.0
H5,,,,7365.0,,,,,3111,4254.0,7365.0,3111,0.0,0.0
big_short,,,,833.3333333333334,1000,,,,,1833.3333333333335,1833.3333333333335,0,0.0,0.0
big_mid,,,,1333.3333333333335,500,,,,,1833.3333333333335,1833.3333333333335,0,0.0,0.0
big_long,,,,1333.3333333333335,,,,,,1333.3333333333335,1333.3333333333335,0,0.0,0.0
SYSTEM,,,,15000.0,5453,,,15000.0,5453,0,20453.0,20453.0,0.0,0.0
SYSTEM,system,System Total,20453.0,,,Total Assets,summary,,,,,,,
SYSTEM,system,System Total,20453.0,,,Total Liabilities,summary,,,,,,,
SYSTEM,system,System Total,0.0,,,Total Equity,summary,,,,,,,
