agent_id,agent_kind,agent_name,amount,assets_cash,assets_payable,item_name,item_type,liabilities_cash,liabilities_payable,net_financial,total_financial_assets,total_financial_liabilities,total_inventory_value,total_nonfinancial_value
CB,,,,,,,,14750.0,,-14750.0,0,14750.0,0.0,0.0
H1,,,,2500.0,6184,,,,2920,5764.0,8684.0,2920,0.0,0.0
H2,,,,1609.0,2420,,,,,4029.0,4029.0,0,0.0,0.0
H3,,,,2891.0,,,,,1928,963.0,2891.0,1928,0.0,0.0
H4,,,,2500.0,1428,,,,2575,1353.0,3928.0,2575,0.0,0.0
H5,,,,2500.0,2075,,,,6684,-2109.0,4575.0,6684,0.0,0.0
big_short,,,,750.0,1000,,,,,1750.0,1750.0,0,0.0,0.0
big_mid,,,,1250.0,500,,,,,1750.0,1750.0,0,0.0,0.0
big_long,,,,750.0,500,,,,,1250.0,1250.0,0,0.0,0.0
SYSTEM,,,,14750.0,14107,,,14750.0,14107,0,28857.0,28857.0,0.0,0.0
SYSTEM,system,System Total,28857.0,,,Total Assets,summary,,,,,,,
SYSTEM,system,System Total,28857.0,,,Total Liabilities,summary,,,,,,,
SYSTEM,system,System Total,0.0,,,Total Equity,summary,,,,,,,
