agent_id,agent_kind,agent_name,amount,assets_cash,assets_payable,item_name,item_type,liabilities_cash,liabilities_payable,net_financial,total_financial_assets,total_financial_liabilities,total_inventory_value,total_nonfinancial_value
CB,,,,,,,,4375.0,,-4375.0,0,4375.0,0.0,0.0
H1,,,,625.0,36,,,,4390,-3729.0,661.0,4390,0.0,0.0
H2,,,,151.0,3890,,,,500,3541.0,4041.0,500,0.0,0.0
H3,,,,1099.0,,,,,501,598.0,1099.0,501,0.0,0.0
H4,,,,625.0,1,,,,8597,-7971.0,626.0,8597,0.0,0.0
H5,,,,625.0,8097,,,,536,8186.0,8722.0,536,0.0,0.0
big_short,,,,416.6666666666667,1000,,,,,1416.6666666666667,1416.6666666666667,0,0.0,0.0
big_mid,,,,416.6666666666667,1000,,,,,1416.6666666666667,1416.6666666666667,0,0.0,0.0
big_long,,,,416.6666666666667,500,,,,,916.6666666666667,916.6666666666667,0,0.0,0.0
SYSTEM,,,,4375.0,14524,,,4375.0,14524,0,18899.0,18899.0,0.0,0.0
SYSTEM,system,System Total,18899.0,,,Total Assets,summary,,,,,,,
SYSTEM,system,System Total,18899.0,,,Total Liabilities,summary,,,,,,,
SYSTEM,system,System Total,0.0,,,Total Equity,summary,,,,,,,
