agent_id,agent_kind,agent_name,amount,assets_cash,assets_payable,item_name,item_type,liabilities_cash,liabilities_payable,net_financial,total_financial_assets,total_financial_liabilities,total_inventory_value,total_nonfinancial_value
CB,,,,,,,,8750.0,,-8750.0,0,8750.0,0.0,0.0
H1,,,,1250.0,2582,,,,2318,1514.0,3832.0,2318,0.0,0.0
H2,,,,459.0,1818,,,,500,1777.0,2277.0,500,0.0,0.0
H3,,,,2041.0,,,,,3846,-1805.0,2041.0,3846,0.0,0.0
H4,,,,1250.0,3346,,,,4461,135.0,4596.0,4461,0.0,0.0
H5,,,,1250.0,3961,,,,3082,2129.0,5211.0,3082,0.0,0.0
big_short,,,,833.3333333333334,1000,,,,,1833.3333333333335,1833.3333333333335,0,0.0,0.0
big_mid,,,,833.3333333333334,1000,,,,,1833.3333333333335,1833.3333333333335,0,0.0,0.0
big_long,,,,833.3333333333334,500,,,,,1333.3333333333335,1333.3333333333335,0,0.0,0.0
SYSTEM,,,,8750.0,14207,,,8750.0,14207,0,22957.0,22957.0,0.0,0.0
SYSTEM,system,System Total,22957.0,,,Total Assets,summary,,,,,,,
SYSTEM,system,System Total,22957.0,,,Total Liabilities,summary,,,,,,,
SYSTEM,system,System Total,0.0,,,Total Equity,summary,,,,,,,
