agent_id,agent_kind,agent_name,amount,assets_cash,assets_payable,item_name,item_type,liabilities_cash,liabilities_payable,net_financial,total_financial_assets,total_financial_liabilities,total_inventory_value,total_nonfinancial_value
CB,,,,,,,,7500.0,,-7500.0,0,7500.0,0.0,0.0
H1,,,,1250.0,949,,,,2925,-726.0,2199.0,2925,0.0,0.0
H2,,,,39.0,2425,,,,500,1964.0,2464.0,500,0.0,0.0
H3,,,,2461.0,,,,,4703,-2242.0,2461.0,4703,0.0,0.0
H4,,,,1250.0,4203,,,,4209,1244.0,5453.0,4209,0.0,0.0
H5,,,,1250.0,3709,,,,1449,3510.0,4959.0,1449,0.0,0.0
big_short,,,,416.6666666666667,1000,,,,,1416.6666666666667,1416.6666666666667,0,0.0,0.0
big_mid,,,,416.6666666666667,1000,,,,,1416.6666666666667,1416.6666666666667,0,0.0,0.0
big_long,,,,416.6666666666667,500,,,,,916.6666666666667,916.6666666666667,0,0.0,0.0
SYSTEM,,,,7500.0,13786,,,7500.0,13786,0,21286.0,21286.0,0.0,0.0
SYSTEM,system,System Total,21286.0,,,Total Assets,summary,,,,,,,
SYSTEM,system,System Total,21286.0,,,Total Liabilities,summary,,,,,,,
SYSTEM,system,System Total,0.0,,,Total Equity,summary,,,,,,,
