agent_id,agent_kind,agent_name,amount,assets_cash,assets_payable,item_name,item_type,liabilities_cash,liabilities_payable,net_financial,total_financial_assets,total_financial_liabilities,total_inventory_value,total_nonfinancial_value
CB,,,,,,,,8750.0,,-8750.0,0,8750.0,0.0,0.0
H1,,,,1250.0,4175,,,,515,4910.0,5425.0,515,0.0,0.0
H2,,,,325.0,15,,,,500,-160.0,340.0,500,0.0,0.0
H3,,,,2175.0,,,,,6280,-4105.0,2175.0,6280,0.0,0.0
H4,,,,1250.0,5780,,,,2103,4927.0,7030.0,2103,0.0,0.0
H5,,,,1250.0,1603,,,,4675,-1822.0,2853.0,4675,0.0,0.0
big_short,,,,833.3333333333334,1000,,,,,1833.3333333333335,1833.3333333333335,0,0.0,0.0
big_mid,,,,833.3333333333334,1000,,,,,1833.3333333333335,1833.3333333333335,0,0.0,0.0
big_long,,,,833.3333333333334,500,,,,,1333.3333333333335,1333.3333333333335,0,0.0,0.0
SYSTEM,,,,8750.0,14073,,,8750.0,14073,0,22823.0,22823.0,0.0,0.0
SYSTEM,system,System Total,22823.0,,,Total Assets,summary,,,,,,,
SYSTEM,system,System Total,22823.0,,,Total Liabilities,summary,,,,,,,
SYSTEM,system,System Total,0.0,,,Total Equity,summary,,,,,,,
