agent_id,agent_kind,agent_name,amount,assets_cash,assets_payable,item_name,item_type,liabilities_cash,liabilities_payable,net_financial,total_financial_assets,total_financial_liabilities,total_inventory_value,total_nonfinancial_value
CB,,,,,,,,26250.0,,-26250.0,0,26250.0,0.0,0.0
H1,,,,5000.0,7108,,,,3400,8708.0,12108.0,3400,0.0,0.0
H2,,,,3953.0,2900,,,,,6853.0,6853.0,0,0.0,0.0
H3,,,,5547.0,,,,,1229,4318.0,5547.0,1229,0.0,0.0
H4,,,,5000.0,729,,,,1713,4016.0,5729.0,1713,0.0,0.0
H5,,,,5000.0,1213,,,,7608,-1395.0,6213.0,7608,0.0,0.0
big_short,,,,416.6666666666667,1000,,,,,1416.6666666666667,1416.6666666666667,0,0.0,0.0
big_mid,,,,916.6666666666667,500,,,,,1416.6666666666667,1416.6666666666667,0,0.0,0.0
big_long,,,,416.6666666666667,500,,,,,916.6666666666667,916.6666666666667,0,0.0,0.0
SYSTEM,,,,26250.0,13950,,,26250.0,13950,0,40200.0,40200.0,0.0,0.0
SYSTEM,system,System Total,40200.0,,,Total Assets,summary,,,,,,,
SYSTEM,system,System Total,40200.0,,,Total Liabilities,summary,,,,,,,
SYSTEM,system,System Total,0.0,,,Total Equity,summary,,,,,,,
