agent_id,agent_kind,agent_name,amount,assets_cash,assets_payable,item_name,item_type,liabilities_cash,liabilities_payable,net_financial,total_financial_assets,total_financial_liabilities,total_inventory_value,total_nonfinancial_value
CB,,,,,,,,15000.0,,-15000.0,0,15000.0,0.0,0.0
H1,,,,2500.0,692,,,,6049,-2857.0,3192.0,6049,0.0,0.0
H2,,,,2500.0,5549,,,,4043,4006.0,8049.0,4043,0.0,0.0
H3,,,,2500.0,3543,,,,2770,3273.0,6043.0,2770,0.0,0.0
H4,,,,2500.0,2270,,,,945,3825.0,4770.0,945,0.0,0.0
H5,,,,2500.0,445,,,,1192,1753.0,2945.0,1192,0.0,0.0
big_short,,,,833.3333333333334,1000,,,,,1833.3333333333335,1833.3333333333335,0,0.0,0.0
big_mid,,,,833.3333333333334,1000,,,,,1833.3333333333335,1833.3333333333335,0,0.0,0.0
big_long,,,,833.3333333333334,500,,,,,1333.3333333333335,1333.3333333333335,0,0.0,0.0
SYSTEM,,,,15000.0,14999,,,15000.0,14999,0,29999.0,29999.0,0.0,0.0
SYSTEM,system,System Total,29999.0,,,Total Assets,summary,,,,,,,
SYSTEM,system,System Total,29999.0,,,Total Liabilities,summary,,,,,,,
SYSTEM,system,System Total,0.0,,,Total Equity,summary,,,,,,,
