agent_id,agent_kind,agent_name,amount,assets_cash,assets_payable,item_name,item_type,liabilities_cash,liabilities_payable,net_financial,total_financial_assets,total_financial_liabilities,total_inventory_value,total_nonfinancial_value
CB,,,,,,,,7500.0,,-7500.0,0,7500.0,0.0,0.0
H1,,,,1250.0,4642,,,,1901,3991.0,5892.0,1901,0.0,0.0
H2,,,,380.0,1401,,,,,1781.0,1781.0,0,0.0,0.0
H3,,,,1620.0,,,,,5041,-3421.0,1620.0,5041,0.0,0.0
H4,,,,1250.0,4541,,,,2044,3747.0,5791.0,2044,0.0,0.0
H5,,,,1250.0,1544,,,,5142,-2348.0,2794.0,5142,0.0,0.0
big_short,,,,416.6666666666667,1000,,,,,1416.6666666666667,1416.6666666666667,0,0.0,0.0
big_mid,,,,916.6666666666667,500,,,,,1416.6666666666667,1416.6666666666667,0,0.0,0.0
big_long,,,,416.6666666666667,500,,,,,916.6666666666667,916.6666666666667,0,0.0,0.0
SYSTEM,,,,7500.0,14128,,,7500.0,14128,0,21628.0,21628.0,0.0,0.0
SYSTEM,system,System Total,21628.0,,,Total Assets,summary,,,,,,,
SYSTEM,system,System Total,21628.0,,,Total Liabilities,summary,,,,,,,
SYSTEM,system,System Total,0.0,,,Total Equity,summary,,,,,,,
