agent_id,agent_kind,agent_name,amount,assets_cash,assets_payable,item_name,item_type,liabilities_cash,liabilities_payable,net_financial,total_financial_assets,total_financial_liabilities,total_inventory_value,total_nonfinancial_value
CB,,,,,,,,26250.0,,-26250.0,0,26250.0,0.0,0.0
H1,,,,2759.0,,,,,,2759.0,2759.0,0,0.0,0.0
H2,,,,4861.0,,,,,,4861.0,4861.0,0,0.0,0.0
H3,,,,7376.0,,,,,2037,5339.0,7376.0,2037,0.0,0.0
H4,,,,148.0,1537,,,,500,1185.0,1685.0,500,0.0,0.0
H5,,,,8356.0,,,,,,8356.0,8356.0,0,0.0,0.0
big_short,,,,916.6666666666667,500,,,,,1416.6666666666667,1416.6666666666667,0,0.0,0.0
big_mid,,,,1416.6666666666667,,,,,,1416.6666666666667,1416.6666666666667,0,0.0,0.0
big_long,,,,416.6666666666667,500,,,,,916.6666666666667,916.6666666666667,0,0.0,0.0
SYSTEM,,,,26250.0,2537,,,26250.0,2537,0,28787.0,28787.0,0.0,0.0
SYSTEM,system,System Total,28787.0,,,Total Assets,summary,,,,,,,
SYSTEM,system,System Total,28787.0,,,Total Liabilities,summary,,,,,,,
SYSTEM,system,System Total,0.0,,,Total Equity,summary,,,,,,,
