agent_id,agent_kind,agent_name,amount,assets_cash,assets_payable,item_name,item_type,liabilities_cash,liabilities_payable,net_financial,total_financial_assets,total_financial_liabilities,total_inventory_value,total_nonfinancial_value
CB,,,,,,,,15000.0,,-15000.0,0,15000.0,0.0,0.0
H1,,,,2913.0,,,,,7107,-4194.0,2913.0,7107,0.0,0.0
H2,,,,959.0,6607,,,,,7566.0,7566.0,0,0.0,0.0
H3,,,,873.0,,,,,,873.0,873.0,0,0.0,0.0
H4,,,,1899.0,,,,,,1899.0,1899.0,0,0.0,0.0
H5,,,,3856.0,,,,,,3856.0,3856.0,0,0.0,0.0
big_short,,,,1333.3333333333335,500,,,,,1833.3333333333335,1833.3333333333335,0,0.0,0.0
big_mid,,,,1833.3333333333335,,,,,,1833.3333333333335,1833.3333333333335,0,0.0,0.0
big_long,,,,1333.3333333333335,,,,,,1333.3333333333335,1333.3333333333335,0,0.0,0.0
SYSTEM,,,,15000.0,7107,,,15000.0,7107,0,22107.0,22107.0,0.0,0.0
SYSTEM,system,System Total,22107.0,,,Total Assets,summary,,,,,,,
SYSTEM,system,System Total,22107.0,,,Total Liabilities,summary,,,,,,,
SYSTEM,system,System Total,0.0,,,Total Equity,summary,,,,,,,
