agent_id,agent_kind,agent_name,amount,assets_cash,assets_payable,item_name,item_type,liabilities_cash,liabilities_payable,net_financial,total_financial_assets,total_financial_liabilities,total_inventory_value,total_nonfinancial_value
CB,,,,,,,,8125.0,,-8125.0,0,8125.0,0.0,0.0
H1,,,,1250.0,1161,,,,2948,-537.0,2411.0,2948,0.0,0.0
H2,,,,1250.0,2448,,,,4684,-986.0,3698.0,4684,0.0,0.0
H3,,,,1250.0,4184,,,,5202,232.0,5434.0,5202,0.0,0.0
H4,,,,1250.0,4702,,,,502,5450.0,5952.0,502,0.0,0.0
H5,,,,1250.0,2,,,,1661,-409.0,1252.0,1661,0.0,0.0
big_short,,,,625.0,1000,,,,,1625.0,1625.0,0,0.0,0.0
big_mid,,,,625.0,1000,,,,,1625.0,1625.0,0,0.0,0.0
big_long,,,,625.0,500,,,,,1125.0,1125.0,0,0.0,0.0
SYSTEM,,,,8125.0,14997,,,8125.0,14997,0,23122.0,23122.0,0.0,0.0
SYSTEM,system,System Total,23122.0,,,Total Assets,summary,,,,,,,
SYSTEM,system,System Total,23122.0,,,Total Liabilities,summary,,,,,,,
SYSTEM,system,System Total,0.0,,,Total Equity,summary,,,,,,,
