agent_id,agent_kind,agent_name,amount,assets_cash,assets_payable,item_name,item_type,liabilities_cash,liabilities_payable,net_financial,total_financial_assets,total_financial_liabilities,total_inventory_value,total_nonfinancial_value
CB,,,,,,,,8500.0,,-8500.0,0,8500.0,0.0,0.0
H1,,,,1205.0,4,,,,500,709.0,1209.0,500,0.0,0.0
H2,,,,1295.0,,,,,12562,-11267.0,1295.0,12562,0.0,0.0
H3,,,,1250.0,12062,,,,887,12425.0,13312.0,887,0.0,0.0
H4,,,,1250.0,387,,,,500,1137.0,1637.0,500,0.0,0.0
H5,,,,1250.0,0,,,,504,746.0,1250.0,504,0.0,0.0
big_short,,,,750.0,1000,,,,,1750.0,1750.0,0,0.0,0.0
big_mid,,,,750.0,1000,,,,,1750.0,1750.0,0,0.0,0.0
big_long,,,,750.0,500,,,,,1250.0,1250.0,0,0.0,0.0
SYSTEM,,,,8500.0,14953,,,8500.0,14953,0,23453.0,23453.0,0.0,0.0
SYSTEM,system,System Total,23453.0,,,Total Assets,summary,,,,,,,
SYSTEM,system,System Total,23453.0,,,Total Liabilities,summary,,,,,,,
SYSTEM,system,System Total,0.0,,,Total Equity,summary,,,,,,,
