agent_id,agent_kind,agent_name,amount,assets_cash,assets_payable,item_name,item_type,liabilities_cash,liabilities_payable,net_financial,total_financial_assets,total_financial_liabilities,total_inventory_value,total_nonfinancial_value
CB,,,,,,,,5625.0,,-5625.0,0,5625.0,0.0,0.0
H1,,,,625.0,218,,,,680,163.0,843.0,680,0.0,0.0
H2,,,,625.0,180,,,,9011,-8206.0,805.0,9011,0.0,0.0
H3,,,,625.0,8511,,,,3975,5161.0,9136.0,3975,0.0,0.0
H4,,,,625.0,3475,,,,614,3486.0,4100.0,614,0.0,0.0
H5,,,,625.0,114,,,,718,21.0,739.0,718,0.0,0.0
big_short,,,,833.3333333333334,1000,,,,,1833.3333333333335,1833.3333333333335,0,0.0,0.0
big_mid,,,,833.3333333333334,1000,,,,,1833.3333333333335,1833.3333333333335,0,0.0,0.0
big_long,,,,833.3333333333334,500,,,,,1333.3333333333335,1333.3333333333335,0,0.0,0.0
SYSTEM,,,,5625.0,14998,,,5625.0,14998,0,20623.0,20623.0,0.0,0.0
SYSTEM,system,System Total,20623.0,,,Total Assets,summary,,,,,,,
SYSTEM,system,System Total,20623.0,,,Total Liabilities,summary,,,,,,,
SYSTEM,system,System Total,0.0,,,Total Equity,summary,,,,,,,
