agent_id,agent_kind,agent_name,amount,assets_cash,assets_payable,item_name,item_type,liabilities_cash,liabilities_payable,net_financial,total_financial_assets,total_financial_liabilities,total_inventory_value,total_nonfinancial_value
CB,,,,,,,,4375.0,,-4375.0,0,4375.0,0.0,0.0
H1,,,,625.0,1797,,,,4486,-2064.0,2422.0,4486,0.0,0.0
H2,,,,625.0,3986,,,,2345,2266.0,4611.0,2345,0.0,0.0
H3,,,,625.0,1845,,,,2558,-88.0,2470.0,2558,0.0,0.0
H4,,,,625.0,2058,,,,3312,-629.0,2683.0,3312,0.0,0.0
H5,,,,625.0,2812,,,,2297,1140.0,3437.0,2297,0.0,0.0
big_short,,,,416.6666666666667,1000,,,,,1416.6666666666667,1416.6666666666667,0,0.0,0.0
big_mid,,,,416.6666666666667,1000,,,,,1416.6666666666667,1416.6666666666667,0,0.0,0.0
big_long,,,,416.6666666666667,500,,,,,916.6666666666667,916.6666666666667,0,0.0,0.0
SYSTEM,,,,4375.0,14998,,,4375.0,14998,0,19373.0,19373.0,0.0,0.0
SYSTEM,system,System Total,19373.0,,,Total Assets,summary,,,,,,,
SYSTEM,system,System Total,19373.0,,,Total Liabilities,summary,,,,,,,
SYSTEM,system,System Total,0.0,,,Total Equity,summary,,,,,,,
