agent_id,agent_kind,agent_name,amount,assets_cash,assets_payable,item_name,item_type,liabilities_cash,liabilities_payable,net_financial,total_financial_assets,total_financial_liabilities,total_inventory_value,total_nonfinancial_value
CB,,,,,,,,14750.0,,-14750.0,0,14750.0,0.0,0.0
H1,,,,2500.0,3080,,,,3135,2445.0,5580.0,3135,0.0,0.0
H2,,,,2500.0,2635,,,,3400,1735.0,5135.0,3400,0.0,0.0
H3,,,,2500.0,2900,,,,1571,3829.0,5400.0,1571,0.0,0.0
H4,,,,2500.0,1071,,,,3311,260.0,3571.0,3311,0.0,0.0
H5,,,,2500.0,2811,,,,3580,1731.0,5311.0,3580,0.0,0.0
big_short,,,,750.0,1000,,,,,1750.0,1750.0,0,0.0,0.0
big_mid,,,,750.0,1000,,,,,1750.0,1750.0,0,0.0,0.0
big_long,,,,750.0,500,,,,,1250.0,1250.0,0,0.0,0.0
SYSTEM,,,,14750.0,14997,,,14750.0,14997,0,29747.0,29747.0,0.0,0.0
SYSTEM,system,System Total,29747.0,,,Total Assets,summary,,,,,,,
SYSTEM,system,System Total,29747.0,,,Total Liabilities,summary,,,,,,,
SYSTEM,system,System Total,0.0,,,Total Equity,summary,,,,,,,
