agent_id,agent_kind,agent_name,amount,assets_cash,assets_payable,item_name,item_type,liabilities_cash,liabilities_payable,net_financial,total_financial_assets,total_financial_liabilities,total_inventory_value,total_nonfinancial_value
CB,,,,,,,,51250.0,,-51250.0,0,51250.0,0.0,0.0
H1,,,,330.0,,,,,500,-170.0,330.0,500,0.0,0.0
H2,,,,19663.0,,,,,500,19163.0,19663.0,500,0.0,0.0
H3,,,,7625.0,,,,,500,7125.0,7625.0,500,0.0,0.0
H4,,,,12359.0,,,,,500,11859.0,12359.0,500,0.0,0.0
H5,,,,10023.0,,,,,500,9523.0,10023.0,500,0.0,0.0
big_short,,,,416.6666666666667,1000,,,,,1416.6666666666667,1416.6666666666667,0,0.0,0.0
big_mid,,,,416.6666666666667,1000,,,,,1416.6666666666667,1416.6666666666667,0,0.0,0.0
big_long,,,,416.6666666666667,500,,,,,916.6666666666667,916.6666666666667,0,0.0,0.0
SYSTEM,,,,51250.0,2500,,,51250.0,2500,0,53750.0,53750.0,0.0,0.0
SYSTEM,system,System Total,53750.0,,,Total Assets,summary,,,,,,,
SYSTEM,system,System Total,53750.0,,,Total Liabilities,summary,,,,,,,
SYSTEM,system,System Total,0.0,,,Total Equity,summary,,,,,,,
